,Gold Formula,Generated Formula
114,( ( x_2 <= -1.1933 or not ( x_2 <= -0.2299 ) ) and ( x_1 >= -0.4525 or ( x_1 <= -0.3593 and x_0 <= 2.1015 ) ) ),"( ( x_2 >= -0.4077 or x_2 >= -0.4077 ) or ( x_1 <= -0.0737 until[17,20] x_2 >= -0.0077 ) )"
115,"( x_2 <= -2.0279 until[14,17] x_2 <= -0.0752 )","eventually[1,18] ( x_2 <= -2.006 )"
116,"( always[14,21] ( x_2 <= 0.1972 ) and ( ( x_1 <= 1.6098 until[17,21] x_0 >= 0.5066 ) until[11,17] not ( ( not ( always[14,16] ( always[0,inf] ( x_1 <= -0.4423 ) ) ) or eventually[6,19] ( ( x_1 >= 1.7191 or x_2 >= 0.8967 ) ) ) ) ) )","( ( ( x_2 <= -0.0977 or x_1 <= -0.4097 ) until[19,21] x_0 >= 0.3077 ) until[19,21] x_1 <= -0.4777 )"
117,"( ( ( ( eventually[9,12] ( always[4,10] ( not ( ( always[0,15] ( x_2 >= 0.1002 ) or always ( always[8,15] ( x_0 >= 1.1044 ) ) ) ) ) ) until[5,16] x_2 <= 0.033 ) until[19,21] x_0 <= 0.6386 ) and ( x_1 <= -0.335 and x_0 <= 2.3053 ) ) and ( x_0 >= -1.6403 or ( x_1 <= -1.2736 or x_2 <= 1.3278 ) ) )","( ( x_2 <= 0.0077 until[1,10] x_1 <= -0.2077 ) and ( x_0 <= 0.0077 or x_0 <= 0.0077 ) )"
118,"eventually[19,21] ( x_2 <= -0.29 )","eventually[19,21] ( x_2 <= -0.2977 )"
119,"( x_0 >= 0.847 and not ( eventually[18,20] ( always[19,21] ( not ( x_1 >= -0.1645 ) ) ) ) )","( x_0 >= 0.7091 until[1,13] x_1 >= 0.2973 )"
120,"always[7,inf] ( not ( eventually[6,8] ( x_0 >= -0.2678 ) ) )","always[19,inf] ( x_0 <= -0.318 )"
121,"always[2,16] ( eventually[10,19] ( eventually[7,16] ( ( always[1,inf] ( x_1 <= -0.4986 ) until[5,9] not ( x_1 >= 0.1336 ) ) ) ) )","always[19,inf] ( x_1 <= -0.4777 )"
122,"always[11,14] ( ( ( x_1 >= -0.3088 until[10,18] x_0 >= -0.5045 ) or always[2,inf] ( x_2 >= -0.393 ) ) )","( ( x_2 >= -0.4077 or x_1 >= 0.0073 ) or always[19,21] ( x_0 >= 0.7073 ) )"
123,"( x_2 >= -0.5927 and eventually[9,inf] ( ( ( always[17,20] ( ( always[16,20] ( x_1 >= -0.1043 ) or ( always[3,inf] ( x_0 >= 0.5931 ) or not ( x_1 >= 0.3906 ) ) ) ) until[19,21] x_1 >= 1.792 ) and ( x_1 >= -1.1443 and x_1 <= 1.0118 ) ) ) )","( ( x_1 >= -0.0077 until[19,21] x_1 >= 1.707 ) until[19,21] x_1 >= 0.007 )"
124,"( ( x_2 >= -0.7454 until[9,11] ( x_2 >= 0.7756 and not ( ( x_0 >= 0.5739 or x_2 >= -0.5276 ) ) ) ) or always[12,16] ( ( eventually[17,19] ( x_0 <= 1.5299 ) and x_1 <= 1.2821 ) ) )","( x_0 <= 1.277 until[16,19] x_1 <= 1.227 )"
125,"not ( ( eventually[4,inf] ( x_0 <= 0.5869 ) until[5,17] x_0 <= -0.9786 ) )","always[1,19] ( x_0 >= -0.9763 )"
126,not ( x_2 <= -0.4868 ),not ( x_2 <= -0.4061 )
127,"eventually[19,inf] ( x_2 >= 3.2069 )","eventually[17,21] ( ( x_2 >= 2.707 and x_1 <= -0.0077 ) )"
128,"eventually[1,inf] ( eventually[17,21] ( eventually ( x_1 <= -0.5757 ) ) )","eventually[11,inf] ( x_1 <= -0.5772 )"
129,not ( x_0 <= 2.1162 ),not ( ( x_0 <= 2.006 or x_2 >= -0.2067 ) )
130,"( ( eventually ( eventually[3,15] ( always[13,20] ( x_0 >= -0.4628 ) ) ) or ( ( not ( x_1 >= -0.9411 ) and x_2 <= -0.9969 ) and not ( ( x_2 >= -0.2283 or x_2 <= 1.2428 ) ) ) ) until[17,inf] ( ( eventually[5,21] ( ( ( x_1 >= -0.7144 or x_0 <= -0.257 ) or x_2 >= 0.2821 ) ) and x_2 <= -1.1278 ) and x_1 >= 0.4626 ) )","( ( x_2 <= -0.9078 until[19,21] x_1 >= 0.0078 ) until[16,19] x_1 >= 0.4077 )"
131,"always[8,inf] ( x_0 >= -0.4019 )","always[19,inf] ( x_0 >= -0.4477 )"
132,( x_2 >= 0.5789 or x_2 <= 0.6352 ),( x_2 <= 0.5098 or x_2 >= 0.5077 )
133,"always[1,3] ( x_2 >= -1.3516 )","not ( ( x_2 <= -1.266 until[1,10] x_1 >= -0.7663 ) )"
134,"always[12,18] ( x_1 <= -1.3285 )","eventually[11,17] ( x_1 <= -1.296 )"
135,"always[4,21] ( ( x_0 >= -1.1643 or x_2 <= -0.6661 ) )","( ( x_2 <= -0.4777 until[16,18] x_0 >= -1.0067 ) or x_1 <= -0.477 )"
136,"( ( x_1 >= 0.1621 or x_0 <= 2.4843 ) and ( not ( ( x_2 <= 0.7736 until[3,20] eventually[8,18] ( x_2 >= 1.1892 ) ) ) or x_2 <= -0.7418 ) )","( ( x_2 <= 1.3077 or x_2 >= 0.007 ) or ( x_0 <= -0.0077 until[17,20] x_1 <= 0.067 ) )"
137,"always[9,inf] ( x_1 >= -0.5072 )","always[19,inf] ( x_1 >= -0.4972 )"
138,( ( x_1 <= 0.6768 and always ( x_1 >= 1.4378 ) ) or not ( x_2 >= -0.6116 ) ),"( x_2 <= -0.617 or ( x_1 >= -0.9071 until[11,17] x_0 >= -0.767 ) )"
139,not ( x_0 <= -1.1049 ),not ( x_0 <= -1.106 )
140,"( always[3,16] ( always[9,13] ( x_2 >= 0.6127 ) ) until[7,inf] x_1 >= -0.6923 )","( x_1 >= -0.9077 until[19,21] ( x_2 >= 0.6073 until[19,21] x_2 >= 0.6073 ) )"
141,"( ( x_2 <= -0.2953 until[18,20] ( eventually ( ( always[11,16] ( ( x_1 <= 0.0379 until[2,4] x_0 <= 1.4205 ) ) or always[0,9] ( always[13,18] ( x_0 <= -1.3398 ) ) ) ) and ( eventually[4,21] ( x_1 >= 0.662 ) or x_1 <= -0.6534 ) ) ) or always[18,20] ( x_2 <= 0.2463 ) )","always[19,21] ( x_2 <= 0.227 )"
142,"not ( eventually[13,15] ( x_2 <= -0.8176 ) )","always[11,19] ( x_2 >= -0.8373 )"
143,"( x_1 <= 0.4887 or eventually[19,inf] ( always[10,20] ( x_1 >= -0.8462 ) ) )",( ( x_1 <= -0.7097 or x_1 <= -0.6097 ) or x_1 <= 0.3077 )
144,"( x_1 <= 0.3444 and always[9,21] ( not ( x_2 <= 0.5465 ) ) )","( x_2 >= 0.507 until[10,17] x_1 <= 0.0073 )"
145,"( eventually[1,19] ( ( x_0 <= -0.4818 and x_0 >= 0.7704 ) ) and always[17,19] ( x_2 >= -0.2503 ) )",( x_0 >= 0.6337 and ( x_0 <= -0.3097 and x_2 >= -0.0677 ) )
146,"( ( eventually[5,13] ( ( eventually[15,18] ( not ( x_0 >= 0.4152 ) ) until[5,16] x_0 >= -1.6247 ) ) and x_0 >= -0.4256 ) and x_1 <= 1.0382 )","( x_0 >= -0.267 until[1,17] x_0 <= 0.3077 )"
147,"always ( always[10,20] ( ( ( not ( ( x_1 >= -0.1782 or eventually[3,6] ( ( ( x_0 >= -0.1615 or always[3,11] ( ( not ( x_1 >= -0.2536 ) and ( ( x_1 >= -1.3934 until[10,16] x_0 >= 0.358 ) or x_0 <= -0.1354 ) ) ) ) and not ( ( not ( ( always[5,inf] ( x_0 <= -1.0418 ) and ( x_0 >= 1.979 or x_1 <= -1.6862 ) ) ) until[19,21] x_2 <= -0.1613 ) ) ) ) ) ) and always[10,13] ( always ( x_0 >= 0.7205 ) ) ) or x_0 <= 0.2353 ) ) )","( ( x_2 >= -0.9097 until[19,21] x_0 <= 0.2097 ) or always[17,21] ( x_0 <= 0.297 ) )"
148,not ( x_1 <= 0.766 ),not ( x_1 <= 0.7833 )
149,always ( x_0 >= -0.1298 ),"always[19,inf] ( x_0 >= -0.107 )"
150,not ( x_1 >= -1.2574 ),not ( x_1 >= -1.2068 )
151,not ( x_1 <= -1.3775 ),not ( x_1 <= -1.306 )
152,"not ( eventually[15,17] ( eventually[10,16] ( always[1,17] ( x_1 >= 0.5221 ) ) ) )","eventually[19,21] ( eventually[19,21] ( x_1 <= 0.5078 ) )"
153,( x_0 >= -0.0733 or not ( x_2 <= 0.1511 ) ),( x_0 >= -0.0043 or x_2 >= 0.0044 )
154,"( always[11,inf] ( ( x_0 >= 0.7729 or ( x_1 >= 1.6501 and x_1 >= 1.3416 ) ) ) and not ( x_0 >= 0.0772 ) )","( ( ( x_0 <= 0.9077 or x_0 >= -0.007 ) or x_0 <= 0.9077 ) until[16,19] x_0 <= 0.9077 )"
155,( x_1 <= 0.3611 until not ( x_0 <= 1.7902 ) ),"( ( x_0 >= 1.5077 or x_1 <= 0.2777 ) until[19,21] x_0 >= 1.607 )"
156,"( x_0 <= -0.0537 until[4,inf] x_0 <= -0.2586 )","eventually[3,11] ( x_0 <= -0.2276 )"
157,"( ( ( x_2 >= -0.5921 or always[18,20] ( x_2 <= 1.6396 ) ) or always[7,21] ( x_2 <= 0.8121 ) ) until[1,10] ( x_2 >= 0.1472 until[6,12] x_0 <= -1.0665 ) )","( x_0 <= -1.007 until[10,17] x_2 >= 0.0097 )"
158,"( ( not ( x_0 <= -0.0666 ) until[14,16] ( ( x_2 >= -1.2442 and ( x_1 >= 1.5641 or x_0 <= 0.5006 ) ) or ( ( always[12,18] ( eventually[8,12] ( x_1 <= 0.1362 ) ) or ( x_2 >= -0.1612 until[13,17] not ( ( x_1 <= -1.0351 and not ( x_1 <= -0.0036 ) ) ) ) ) or x_1 >= 0.8892 ) ) ) and ( eventually[6,9] ( ( x_0 >= 0.5726 and x_1 >= 0.7616 ) ) and always[17,19] ( x_0 <= 1.0386 ) ) )","( ( x_0 >= 0.6097 until[1,17] x_1 >= 0.8077 ) until[1,13] x_0 >= 0.7077 )"
159,( x_1 <= 0.9618 and x_1 >= 1.31 ),"( x_1 >= 1.207 until[1,17] x_1 <= 0.9077 )"
160,"eventually[17,19] ( x_1 >= -0.3904 )","always[16,20] ( x_1 >= -0.4078 )"
161,"always[3,11] ( not ( x_1 <= 1.0807 ) )","eventually[1,19] ( x_1 >= 1.1007 )"
162,"( ( x_1 <= 0.2648 and ( ( ( ( ( x_0 <= 0.2983 and x_0 >= 0.9311 ) and always[10,18] ( ( x_2 <= -0.8447 until[3,13] x_0 <= 0.057 ) ) ) and ( ( x_0 <= -1.4823 until[7,17] x_2 <= -1.3196 ) and x_2 <= -0.2144 ) ) and ( ( x_1 <= 1.0252 until[5,20] always[12,19] ( x_0 <= -0.9371 ) ) and x_2 >= 1.0419 ) ) and ( always ( ( always ( not ( always[17,20] ( x_2 >= 1.3815 ) ) ) until[7,14] eventually ( ( always[2,inf] ( ( x_1 <= -0.8036 and x_2 >= 0.2173 ) ) and ( x_0 <= -1.0945 and not ( not ( not ( x_0 >= -0.2616 ) ) ) ) ) ) ) ) and x_1 >= -0.0777 ) ) ) and eventually[2,10] ( x_0 <= -0.6495 ) )","( ( ( ( x_2 <= -0.9077 until[17,19] x_0 >= -1.2077 ) and x_1 <= 0.077 ) until[19,21] x_2 >= 0.7077 ) until[16,18] x_0 >= 0.7777 )"
163,"not ( always[1,13] ( eventually[13,20] ( x_2 >= -0.0338 ) ) )","eventually[19,21] ( x_2 <= -0.009 )"
164,( ( not ( x_2 >= -0.9184 ) until x_1 <= 0.8259 ) or not ( ( x_0 <= -0.2616 and x_1 >= 0.133 ) ) ),( ( x_0 >= -0.1977 or x_1 <= 0.2097 ) or x_2 <= -0.0077 )
165,"( x_2 >= 1.4031 until[10,inf] eventually[1,14] ( ( always[7,9] ( x_0 <= -0.888 ) or ( x_0 <= -0.6446 until[14,16] x_0 >= 2.5279 ) ) ) )","( ( x_2 >= 1.307 until[1,10] x_0 <= -0.007 ) and x_1 <= 0.277 )"
166,"always[17,20] ( x_0 <= -0.6729 )","always[18,21] ( x_0 <= -0.7678 )"
167,( x_0 >= 0.7289 and x_0 <= -0.0447 ),( x_0 >= 0.6337 and x_0 <= 0.6067 )
168,"( ( always[5,inf] ( eventually ( not ( x_2 <= 1.076 ) ) ) or always[0,21] ( not ( not ( ( x_1 <= -0.9412 and x_2 <= 0.7168 ) ) ) ) ) or eventually[19,21] ( eventually[7,15] ( always[16,inf] ( x_1 <= -1.9527 ) ) ) )","( ( x_2 >= -0.9077 or x_1 <= 0.9077 ) or eventually[19,21] ( eventually[17,21] ( x_2 >= -1.0077 ) ) )"
169,"( x_1 <= -0.5795 or ( ( x_2 <= -0.6264 until[5,20] not ( x_2 <= 0.2906 ) ) and ( ( ( eventually[19,21] ( x_2 >= 0.0778 ) until[12,16] x_0 >= -0.9221 ) until[5,17] ( x_2 <= 0.8943 or eventually[2,12] ( x_2 >= -2.2212 ) ) ) and ( ( eventually[2,13] ( ( x_2 <= 1.426 or ( x_1 <= -1.6016 until[18,21] ( x_2 >= -0.1548 until[16,21] eventually[0,15] ( x_1 >= 0.5182 ) ) ) ) ) and ( x_2 >= 0.6017 or x_0 <= -1.394 ) ) or x_0 <= 0.0046 ) ) ) )","( x_1 <= -0.577 or ( x_0 <= -0.9077 until[11,14] x_2 <= -0.077 ) )"
170,( x_1 >= -0.469 and x_2 <= 0.0542 ),( x_2 <= -0.209 and x_1 >= -0.5078 )
171,"( not ( ( not ( x_2 <= -0.9198 ) and x_2 <= -1.8267 ) ) until[9,12] ( x_2 >= 0.378 or not ( ( eventually[11,inf] ( not ( x_2 >= -1.3612 ) ) or x_1 <= 1.6013 ) ) ) )","( ( x_2 >= 0.3077 or x_0 >= -0.9477 ) or eventually[17,21] ( x_2 >= 0.3076 ) )"
172,"( not ( always[7,15] ( x_0 >= 1.1771 ) ) and x_1 >= -1.4577 )","( x_1 >= -1.227 until[1,19] x_0 <= 1.1377 )"
173,"( x_0 >= 1.1829 or ( not ( ( x_0 <= 0.0118 until[11,17] eventually[8,13] ( x_2 >= -1.3043 ) ) ) and x_2 >= 0.6134 ) )","( x_0 >= 0.7331 or ( x_2 >= -0.2973 until[1,13] x_2 >= -0.0073 ) )"
174,"eventually[18,20] ( x_1 <= 0.6432 )","eventually[19,21] ( x_1 <= 0.6877 )"
175,"( ( x_2 <= -1.1989 until[4,17] x_1 >= -0.0625 ) and not ( ( x_2 <= 0.8003 until[18,20] ( always[14,inf] ( always[19,21] ( x_2 <= -0.7464 ) ) until[0,9] not ( ( ( always ( x_2 <= 0.728 ) or x_2 >= 1.0824 ) until[18,inf] ( x_0 >= -0.8769 or always[0,15] ( x_1 <= -0.3188 ) ) ) ) ) ) ) )","( x_2 <= -1.1078 until[1,10] x_1 >= -0.0638 )"
176,"not ( ( x_0 <= 0.0721 or ( ( x_0 <= -2.7159 and ( x_0 <= -0.9347 until[14,21] not ( ( ( x_0 >= -0.5089 and eventually[10,20] ( ( not ( x_2 <= 1.5057 ) and ( always[6,10] ( eventually[4,inf] ( not ( ( not ( x_0 <= 0.0965 ) or not ( not ( x_2 <= 0.2638 ) ) ) ) ) ) and x_1 <= 0.8082 ) ) ) ) until[12,14] x_0 >= 0.2953 ) ) ) ) until[10,20] x_2 <= -0.2722 ) ) )",not ( ( x_0 <= 0.009 or x_0 <= 0.0077 ) )
177,"( x_0 <= 0.1586 until[19,21] x_1 <= 0.2775 )","( x_0 <= 0.027 until[16,18] x_1 <= 0.007 )"
178,"( eventually ( x_2 <= -0.7169 ) and ( always[6,16] ( always[6,inf] ( ( x_2 <= 0.9683 and always[4,8] ( x_1 >= 0.3232 ) ) ) ) and ( ( x_2 <= 1.054 or ( x_0 <= 0.2218 or ( x_1 <= 0.3398 until[15,17] ( not ( x_0 <= 0.5105 ) or x_2 >= 1.4108 ) ) ) ) or ( x_2 >= 0.4286 until[13,21] eventually[12,21] ( ( x_1 <= -0.5306 or eventually[6,17] ( ( not ( x_0 <= 3.2857 ) or always ( x_2 >= -0.5334 ) ) ) ) ) ) ) ) )","( ( x_2 <= -0.0097 until[19,21] x_1 >= 0.4077 ) until[19,21] always[16,inf] ( x_1 >= 0.3078 ) )"
179,not ( x_1 <= -1.0047 ),not ( x_1 <= -1.0061 )
180,"( x_2 >= 1.3929 until[12,19] not ( not ( x_2 <= 1.1125 ) ) )","( x_2 >= 1.307 until[1,17] x_2 <= 1.307 )"
181,"eventually[2,17] ( ( always[16,20] ( x_0 <= 0.444 ) until x_1 <= -0.4317 ) )","( ( x_0 <= 0.207 until[19,21] x_1 <= -0.277 ) until[16,18] x_0 <= 0.407 )"
182,"( x_0 >= 1.0268 and not ( eventually[1,11] ( eventually[15,20] ( x_2 <= -0.5084 ) ) ) )",( x_0 >= 0.907 and x_2 >= 0.2967 )
183,"eventually[18,inf] ( x_0 <= 0.4285 )","eventually[19,inf] ( x_0 <= 0.4077 )"
184,"( not ( x_1 >= 3.1418 ) until[16,19] ( x_2 >= 0.8363 until[10,14] ( x_0 <= -1.0356 and x_1 >= 0.8657 ) ) )","( ( ( x_0 <= -0.9077 until[17,19] x_1 >= 0.9077 ) until[17,21] x_2 >= 0.9077 ) until[10,17] x_1 >= 1.0077 )"
185,"( not ( x_2 <= 1.4783 ) until[7,inf] always[3,15] ( x_0 <= 0.4702 ) )",( x_2 >= 1.406 and x_0 <= 0.006 )
186,"( ( ( x_1 >= -0.4545 or ( not ( ( x_1 <= 0.8082 until[5,inf] x_2 >= -0.9316 ) ) or ( eventually[0,inf] ( not ( x_0 <= 1.1867 ) ) and ( x_2 >= -0.8519 or always[16,18] ( x_0 <= 1.5687 ) ) ) ) ) or eventually[0,13] ( x_2 <= -1.1682 ) ) or not ( not ( x_2 <= -0.1229 ) ) )",( x_1 >= -0.4097 or x_2 <= -0.0047 )
187,"( always[4,21] ( not ( x_0 <= -0.9546 ) ) until[17,19] x_2 >= -0.4184 )","( x_0 >= -0.9199 until[19,21] x_2 >= -0.4077 )"
188,"not ( ( always[7,inf] ( ( ( ( x_1 <= -0.3377 or not ( x_0 >= -0.691 ) ) and ( x_2 <= -0.8053 and ( x_2 >= -0.1041 and x_1 >= 0.7959 ) ) ) until[2,6] ( ( x_2 >= 0.0693 until[0,10] ( ( ( x_0 <= -0.6305 or not ( x_1 <= -0.2627 ) ) or eventually[10,inf] ( x_0 >= -0.7411 ) ) until[1,10] x_0 >= -0.9323 ) ) or x_0 <= 0.6716 ) ) ) until[0,12] ( ( x_0 >= 0.7195 or x_1 >= 1.343 ) or x_1 >= 0.6335 ) ) )","not ( ( ( ( ( x_2 <= -0.6077 until[17,19] x_1 >= 0.7077 ) until[13,17] x_2 <= -0.6077 ) until[16,19] x_2 <= 0.7077 ) until[16,18] x_1 >= 0.7077 ) )"
189,( x_1 >= -0.8145 and x_0 <= 2.2714 ),"( x_1 >= -0.8737 until[1,17] x_0 <= 1.7078 )"
190,"( eventually[19,21] ( ( not ( ( x_2 <= -0.9784 or x_1 <= 0.7486 ) ) until[0,8] ( x_2 >= 0.3621 and x_0 >= -0.0453 ) ) ) until[17,21] x_2 >= -1.8034 )","( ( x_0 >= -0.2073 until[19,21] ( x_2 >= 0.0077 until[19,21] x_1 >= 0.9077 ) ) until[19,21] x_1 >= 0.9077 )"
191,"( x_0 <= -1.7535 and ( not ( not ( ( x_0 <= 0.3769 or x_0 >= 0.0841 ) ) ) until[11,17] ( x_1 >= -0.5235 until[16,19] ( not ( always[0,10] ( not ( not ( ( ( eventually[14,16] ( x_1 <= 2.6611 ) and ( eventually[8,10] ( always[9,inf] ( ( x_1 >= 0.1035 and ( x_1 >= 1.2144 and x_0 <= -0.7959 ) ) ) ) until[0,inf] x_0 <= 1.0088 ) ) and eventually[12,inf] ( ( x_1 >= -0.6964 until[10,14] x_0 <= 1.1612 ) ) ) ) ) ) ) and x_1 <= 0.0521 ) ) ) )",( x_0 <= -1.6937 and x_1 >= -0.9067 )
192,"( x_2 <= 0.6125 until[9,17] ( x_0 >= -1.3257 until[18,inf] always[5,16] ( always[11,13] ( eventually[6,19] ( always[14,inf] ( ( x_0 >= 0.429 or x_2 <= -1.6433 ) ) ) ) ) ) )","( ( x_2 <= -0.7097 or x_0 >= 0.5097 ) until[19,21] ( x_2 <= -0.0977 or x_0 >= 0.0077 ) )"
193,"eventually[5,13] ( x_1 <= -0.2146 )","eventually[1,19] ( x_1 <= -0.227 )"
194,"eventually[1,5] ( ( x_1 >= 0.7676 and eventually[16,inf] ( always[11,19] ( x_2 <= 0.3438 ) ) ) )","( x_1 >= 0.7077 until[10,17] x_2 <= 0.1077 )"
195,( x_2 <= 0.2424 and not ( x_0 >= -0.4853 ) ),( x_0 <= -0.4337 and x_2 <= 0.0067 )
196,"always[6,17] ( x_2 <= 0.5562 )","always[10,17] ( x_2 <= 0.5077 )"
197,( ( x_2 <= 0.0842 and x_1 <= -0.4233 ) or ( x_2 <= -0.215 or x_2 >= -0.5302 ) ),( x_2 >= -0.4077 or x_2 >= -0.4033 )
198,"( x_1 <= -0.2029 until[8,19] not ( x_2 >= -0.0997 ) )","( x_1 <= -0.207 until[10,13] x_2 <= -0.2077 )"
199,"( x_2 <= -2.3411 until[15,17] ( x_1 >= 0.538 until[6,8] ( ( x_0 <= -1.4884 or ( x_2 <= -0.2828 or always[8,inf] ( ( x_1 <= 0.2654 or ( x_0 >= 0.4921 until[10,16] ( not ( ( x_1 <= 0.9412 until[2,13] x_1 >= -1.921 ) ) until ( ( x_2 <= 0.6003 or x_1 <= -0.7717 ) and x_2 >= 0.5322 ) ) ) ) ) ) ) and x_1 <= 0.3782 ) ) )","( x_2 <= -2.207 until[13,17] x_1 >= -0.4067 )"
