0,1,2,3,gold formula
not ( ( ( x_2 >= 0.413 or x_2 >= 0.453 ) and ( x_2 >= 0.513 or x_2 >= 0.533 ) ) ),"not ( ( ( x_2 >= 0.5255 and x_2 >= 0.5255 ) or ( x_2 >= -0.2555 until[1,15] x_2 >= -0.2555 ) ) )",((x_2<= 0.3777orx_2<= 0.3997)and(x_2<= 0.3977orx_2<= 0.399))or((x_2<= 0.3977andx_2<= 0.399)and(x_2<= 0.3977orx_2<= 0.499))),( x_2 <= 0.4929 or x_2 <= 0.4923 ),( x_2 <= 0.5124 or x_2 <= -1.2723 )
"( ( ( x_2 >= -0.7622 or x_2 >= -0.054 ) or ( x_2 >= -0.066 or x_2 >= -0.066 ) ) until[1,18] ( ( x_2 >= -0.066 or x_2 >= -0.8662 ) or ( x_2 >= -0.066 or x_2 >= -0.064 ) ) )","( ( ( ( x_2 >= -0.7155 or x_2 >= -0.9555 ) or ( x_2 >= -0.7555 until[2,25] x_2 >= -0.9555 ) ) or ( ( x_2 >= -0.7555 until[2,20] x_2 >= -0.4555 ) or ( x_2 >= -0.4555 until[20,29] x_2 >= -0.4555 ) ) ) or ( ( ( x_2 >= -0.3555 until[25,33] x_2 >= -0.4555 ) and ( x_2 >= -0.4555 until[20,29] x_2 >= -0.4555 ) ) and ( ( x_2 >= -0.3555 until[25,30] x_2 >= -0.4555 ) or ( x_2 >= -0.4555 until[2,24] x_2 >= -0.4555 ) ) ) )","((x_2>=-0.7337andx_2>=-0.9389)or(x_2>=-0.6637andx_2>=-0.699))until[10,19]((x_2>=-0.9637orx_2>=-0.799)or(x_2>=-0.7937andx_2>=-0.799)))","( x_2 >= -0.8922 or ( x_2 >= -0.2222 until[16,20] x_2 >= -0.2922 ) )","eventually[6,16] ( x_2 >= -0.8284 )"
"( ( ( x_2 <= -0.263 or x_2 <= -0.266 ) and ( x_0 >= -0.266 or x_2 <= -0.266 ) ) until[1,18] ( ( x_2 <= -0.266 or x_0 >= -0.266 ) or ( x_2 <= -0.266 or x_0 >= -0.266 ) ) )","( ( ( ( x_2 <= -0.2555 and x_2 <= -0.2055 ) or ( x_2 <= -0.2155 and x_2 <= -0.2055 ) ) or ( ( x_0 >= -0.1555 and x_2 <= -0.2055 ) and ( x_2 <= -0.2555 until[15,26] x_2 <= -0.2225 ) ) ) until[1,19] ( ( ( x_2 <= -0.2555 or x_2 <= -0.2555 ) or ( x_0 >= -0.2555 or x_2 <= -0.2555 ) ) or ( ( x_2 <= -0.2555 and x_2 <= -0.2555 ) and ( x_2 <= -0.2555 or x_2 <= -0.2555 ) ) ) )","((x_2<=-0.1337andx_2<=-0.138)or(x_0>=-0.0937andx_2<=-0.099))until[10,19]((x_2<=-0.0337orx_0>=-0.099)or(x_0>=-0.0937andx_2<=-0.099)))","( x_2 <= -0.3929 until[19,21] x_0 >= -0.9922 )","( always[14,inf] ( ( x_0 >= -0.3812 or eventually[1,4] ( ( x_1 <= -1.0544 or ( not ( x_1 <= 1.7907 ) and x_2 <= 1.0032 ) ) ) ) ) until[0,20] x_2 <= -0.1592 )"
( ( ( x_2 <= -0.363 or x_2 <= -0.366 ) or ( x_2 <= -0.366 or x_2 <= -0.366 ) ) and ( ( x_2 <= -0.366 or x_2 <= -0.366 ) or ( x_2 <= -0.366 or x_2 <= -0.366 ) ) ),"( ( ( x_2 <= -0.5155 or x_2 <= -0.5155 ) until[1,15] ( x_2 <= -0.5155 or x_2 <= -0.5555 ) ) or ( ( x_2 <= -0.5555 until[20,29] x_2 <= -0.5555 ) and ( x_2 <= -0.5555 until[20,22] x_2 <= -0.5525 ) ) )",((x_2<=-0.3777orx_2<=-0.399)and(x_2<=-0.3977orx_2<=-0.399))or((x_2<=-0.3977andx_2<=-0.399)and(x_2<=-0.3977andx_2<=-0.499))),"( x_2 <= -0.4922 until[11,13] x_2 <= -0.4922 )","( not ( not ( eventually[7,21] ( not ( not ( x_2 <= -0.455 ) ) ) ) ) and x_2 <= -0.2963 )"
( ( ( x_2 <= 0.633 or x_0 <= 0.533 ) and ( x_2 <= 0.363 or x_0 <= 0.553 ) ) and ( ( x_2 <= 0.363 or x_0 <= 0.553 ) or ( x_2 <= 0.363 and x_0 <= 0.556 ) ) ),"( ( ( ( x_2 <= 0.5555 or x_0 <= 0.5555 ) or ( x_2 <= 0.2555 or x_2 <= 0.2555 ) ) until[1,10] ( ( x_2 <= 0.2555 or x_2 <= 0.2555 ) and ( x_0 <= 0.5555 or x_2 <= -0.2555 ) ) ) or ( ( ( x_2 <= 0.5555 or x_2 <= 0.5555 ) and ( x_2 <= 0.5555 until[15,26] x_0 <= 0.5555 ) ) and ( ( x_2 <= 0.5555 until[15,26] x_2 <= 0.5555 ) or ( x_2 <= 0.5555 until[1,21] x_0 <= 0.5555 ) ) ) )",((x_2<= 0.3377orx_0<= 0.3897)and(x_0<= 0.3877orx_0<= 0.3997))and((x_2<= 0.3667orx_0<= 0.3997)and(x_0<= 0.3977andx_2<= 0.399))),( x_0 <= 0.6924 and x_2 <= 0.9924 ),( x_0 <= 0.6333 and x_2 <= 0.9236 )
not ( ( ( x_2 >= 0.233 or x_2 >= 0.233 ) and ( x_2 >= 0.233 or x_2 >= -0.153 ) ) ),not ( ( ( x_2 >= 0.2515 or x_2 >= -0.0555 ) and ( x_2 >= -0.1115 or x_2 >= -0.1125 ) ) ),((x_2<= 0.1377orx_2<= 0.139)and(x_2<= 0.2337orx_2<= 0.239))or((x_2<= 0.1377andx_2<= 0.239)and(x_2<= 0.2377orx_2<= 0.239))),"( x_2 <= 0.2929 or ( x_2 <= 0.2229 until[11,13] x_2 <= -0.0229 ) )",not ( x_2 >= 0.2708 )
"( ( ( x_2 >= -0.033 or x_0 <= -0.133 ) or ( x_2 >= -0.133 and x_0 <= -0.134 ) ) or ( ( x_2 >= -0.163 until[1,29] x_2 >= -0.164 ) or ( x_2 >= -0.164 until[15,23] x_0 <= -0.344 ) ) )","( ( ( ( x_2 >= -0.0055 or x_0 <= -0.2055 ) or ( x_2 >= -0.0055 or x_2 >= -0.0525 ) ) or ( ( x_2 >= -0.0525 and x_0 <= -0.2225 ) or ( x_2 >= -0.0525 until[15,29] x_2 >= -0.0525 ) ) ) or ( ( ( x_2 >= -0.0525 until[15,22] x_0 <= -0.2225 ) or ( x_2 >= -0.2555 until[25,32] x_2 >= -0.0555 ) ) or ( ( x_2 >= -0.1555 until[25,32] x_2 >= -0.0555 ) or ( x_2 >= -0.1555 until[25,30] x_2 >= -0.0555 ) ) ) )","((x_2>=-0.0337orx_0<=-0.0397)or(x_2>=-0.0337orx_0<=-0.099))or((x_2>=-0.0337andx_0<=-0.099)until[10,19](x_0<=-0.0937orx_2>=-0.039)))","( x_2 >= -0.2529 or ( x_0 <= -0.4229 until[16,18] x_0 <= -0.6929 ) )","( ( not ( x_2 <= 0.1743 ) or ( x_1 >= 0.06 until[17,21] ( eventually[4,10] ( x_1 <= 0.5213 ) until[7,19] x_0 >= -0.4835 ) ) ) or x_0 <= -0.741 )"
( ( ( x_2 <= 0.513 or x_2 <= 0.553 ) or ( x_2 <= 0.553 or x_2 <= 0.553 ) ) or ( ( x_2 <= 0.553 or x_2 <= 0.553 ) and ( x_2 <= 0.553 or x_2 <= -0.153 ) ) ),"( ( ( x_2 <= 0.5255 or x_2 <= 0.5255 ) or ( x_2 <= -0.1555 until[1,15] x_2 <= -0.1555 ) ) or ( ( x_2 <= 0.5555 or x_2 <= 0.5555 ) or ( x_2 <= -0.5555 until[20,29] x_2 <= -0.2555 ) ) )",((x_2<= 0.5377orx_2<= 0.539)or(x_2<= 0.5337andx_1<=-0.099))or((x_2<= 0.5377andx_2<= 0.599)and(x_2<= 0.5937orx_1<=-0.099))),( x_2 <= 0.5299 or x_1 <= -1.092 ),( not ( x_1 >= -1.0871 ) or x_2 <= 0.5956 )
( ( ( x_2 <= 0.333 or x_2 >= -0.333 ) and ( x_2 >= -0.333 or x_2 >= 0.333 ) ) and ( ( x_2 >= -0.333 or x_2 >= -0.333 ) or ( x_2 >= -0.331 and x_2 >= -0.331 ) ) ),"( ( ( ( x_2 <= 0.0055 and x_2 <= -0.0055 ) or ( x_2 <= -0.0055 and x_2 <= -0.0055 ) ) or ( ( x_2 <= -0.1055 and x_2 <= -0.1055 ) and ( x_2 <= -0.1555 and x_2 <= -0.1055 ) ) ) until[1,10] ( ( ( x_2 <= -0.0555 or x_2 <= -0.1555 ) and ( x_2 <= -0.1555 or x_2 <= -0.1555 ) ) or ( ( x_2 <= -0.1555 and x_2 <= -0.1555 ) and ( x_2 <= -0.1555 and x_2 <= -0.1555 ) ) ) )",((x_2>= 0.3337andx_2>= 0.3387)and(x_2>= 0.0377andx_2>= 0.399))and((x_2<= 0.0337andx_2<= 0.099)and(x_2<= 0.0337andx_2<= 0.099))),( x_2 <= -0.5929 and x_2 <= 0.6929 ),"( ( not ( ( x_2 >= 0.371 or ( ( always[13,inf] ( ( x_2 >= -0.1731 or eventually[13,19] ( x_1 <= 2.1254 ) ) ) and ( ( x_1 <= 0.5062 until[4,inf] x_1 <= 1.5162 ) until[7,19] x_0 <= -0.1058 ) ) until[16,21] always[9,12] ( always ( x_0 >= 0.4439 ) ) ) ) ) until[8,12] x_2 >= -1.0933 ) and x_2 >= -1.4983 )"
"( ( x_1 <= -0.063 or x_1 >= 0.433 ) until[1,inf] ( x_1 >= -0.363 or x_1 >= -0.363 ) )","( ( x_1 <= 0.4255 or x_1 <= -0.4055 ) until[10,22] ( x_1 <= -0.0055 or x_0 <= -0.5525 ) )","(x_1>= 0.3833orx_1>= 0.309)or(x_1>= 0.0933until[10,29]x_1>= 0.399))",( x_1 <= -0.4929 or x_1 <= 0.4929 ),( x_1 <= -0.9265 or ( ( x_1 >= 0.2059 or x_1 <= -0.377 ) and x_0 <= 1.0336 ) )
( ( ( x_2 <= 0.413 or x_2 <= 0.413 ) or ( x_2 <= 0.413 or x_2 <= 0.453 ) ) or ( ( x_2 <= 0.413 or x_2 <= -0.153 ) and ( x_0 <= -0.153 and x_2 <= 0.353 ) ) ),"( ( ( ( x_2 <= 0.4155 or x_2 <= 0.4255 ) or ( x_2 <= 0.4255 or x_2 <= -0.1525 ) ) or ( ( x_2 <= 0.4255 or x_2 <= -0.1525 ) or ( x_2 <= -0.1525 until[1,15] x_2 <= -0.1525 ) ) ) or ( ( ( x_2 <= 0.5255 or x_2 <= -0.2555 ) or ( x_2 <= -0.2555 until[2,29] x_2 <= -0.2555 ) ) or ( ( x_2 <= -0.2555 or x_2 <= -0.2555 ) or ( x_2 <= -0.2555 until[2,24] x_2 <= -0.2555 ) ) ) )",((x_2<= 0.3837orx_2<= 0.398)or(x_0<=-0.0977andx_0<=-0.099))or((x_2<= 0.3937andx_0<=-0.099)and(x_0<=-0.0977orx_0<=-0.099))),( x_2 <= 0.4229 or x_0 <= -0.9299 ),"( ( x_2 >= -1.504 until[13,20] x_0 <= -0.6421 ) or x_2 <= 0.4798 )"
"( ( ( x_2 >= -0.033 or x_2 >= -0.033 ) or ( x_2 >= 0.133 or x_2 >= 0.033 ) ) until[1,28] ( ( x_2 >= -0.1332 or x_2 >= -0.034 ) or ( x_2 >= -0.134 or x_2 >= -0.044 ) ) )","( ( ( x_2 >= -0.0515 or x_2 >= -0.0555 ) until[1,19] ( x_2 >= -0.0555 or x_2 >= -0.1055 ) ) or ( ( x_2 >= 0.1525 until[15,26] x_2 >= -0.1555 ) until[11,21] ( x_2 >= -0.1555 and x_2 >= -0.1555 ) ) )",((x_2>=-0.0331orx_2>=-0.0363)and(x_2>=-0.0337orx_2>=-0.0399))or((x_2>=-0.0367andx_2>=-0.0399)and(x_2>=-0.0367andx_2>=-0.0399))),"( x_2 >= -0.0929 until[16,18] x_2 >= -0.0922 )","always[4,15] ( not ( x_2 <= -0.0756 ) )"
( ( ( x_2 >= -0.6632 or x_2 >= -0.663 ) or ( x_2 >= -0.066 or x_2 >= -0.064 ) ) and ( ( x_2 >= -0.066 or x_2 >= -0.064 ) or ( x_2 >= -0.666 or x_2 >= -0.064 ) ) ),"( ( ( x_2 >= -0.7155 or x_2 >= -0.7555 ) or ( x_2 >= -0.7555 until[1,21] x_2 >= -0.7555 ) ) or ( ( x_2 >= -0.7555 until[20,29] x_2 >= -0.7555 ) and ( x_2 >= -0.5555 until[20,29] x_2 >= -0.5555 ) ) )",((x_2>=-0.7337andx_2>=-0.7389)or(x_2>=-0.6937andx_2>=-0.699))and((x_2>=-0.6937orx_2>=-0.699)or(x_2>=-0.6937andx_2>=-0.699))),"( x_2 >= -0.7929 or ( x_2 >= -0.6222 until[16,20] x_2 >= -0.2922 ) )",not ( x_2 <= -0.7395 )
not ( ( ( x_2 >= -0.153 or x_2 >= -0.163 ) and ( x_2 >= -0.166 or x_2 >= -0.066 ) ) ),"not ( ( ( x_2 >= -0.2155 or x_2 >= -0.2115 ) or ( x_2 >= -0.2115 until[1,19] x_2 >= -0.2225 ) ) )",((x_2<=-0.1377orx_2<=-0.138)and(x_2<=-0.2337orx_2<=-0.239))or((x_2<=-0.0377andx_2<=-0.239)and(x_2<=-0.2977andx_2<=-0.239))),( x_2 <= -0.1929 and x_2 <= -0.8222 ),not ( x_2 >= -0.2111 )
( ( ( x_1 <= 0.533 or x_2 <= 0.333 ) and ( x_1 <= 0.333 or x_2 <= 0.333 ) ) and ( ( x_1 <= 0.331 or x_2 <= 0.261 ) or ( x_2 <= 0.331 and x_1 <= 0.331 ) ) ),"( ( ( ( x_2 <= 0.5155 or x_2 <= 0.2155 ) or ( x_2 <= 0.2155 and x_2 <= -0.1055 ) ) or ( ( x_2 <= 0.2155 and x_2 <= 0.2155 ) or ( x_2 <= -0.1555 and x_2 <= -0.1555 ) ) ) until[1,19] ( ( ( x_1 <= 0.5555 or x_2 <= 0.2555 ) or ( x_2 <= 0.2555 and x_2 <= 0.2555 ) ) and ( ( x_2 <= 0.5555 or x_2 <= 0.5555 ) or ( x_2 <= 0.2555 until[1,19] x_2 <= 0.2555 ) ) ) )",((x_2<= 0.2337andx_1<= 0.3387)or(x_2<= 0.0377andx_1<= 0.1997))and((x_2<= 0.0377andx_1<= 0.3997)and(x_2<= 0.0977andx_1<= 0.399))),"( x_1 <= 0.9299 until[16,18] x_2 <= 0.3924 )","eventually[18,20] ( ( x_1 <= 0.8913 and x_2 <= 0.4152 ) )"
( ( ( x_2 <= -0.163 or x_2 <= -0.066 ) and ( x_2 <= -0.066 or x_0 >= -0.366 ) ) and ( ( x_2 <= -0.166 or x_2 <= -0.066 ) or ( x_2 <= -0.166 or x_2 <= -0.066 ) ) ),"( ( ( ( x_2 <= -0.0555 and x_2 <= -0.1055 ) or ( x_2 <= -0.1055 and x_2 <= -0.1055 ) ) or ( ( x_2 <= -0.1055 and x_2 <= -0.2055 ) and ( x_2 <= -0.2055 and x_2 <= -0.2055 ) ) ) until[1,19] ( ( ( x_2 <= -0.1555 or x_2 <= -0.2555 ) or ( x_2 <= -0.1555 until[1,19] x_2 <= -0.2555 ) ) or ( ( x_2 <= -0.1555 until[1,19] x_2 <= -0.2555 ) and ( x_2 <= -0.2555 until[1,19] x_2 <= -0.2555 ) ) ) )",((x_2<=-0.1337orx_2<= 0.038)and(x_2<=-0.0337orx_0>=-0.099))and((x_2<=-0.0337orx_0>=-0.099)and(x_2<=-0.0337andx_2<=-0.039))),"( x_2 <= -0.1922 until[16,18] x_0 >= -1.0922 )","( x_0 >= -1.0551 until[1,11] x_2 <= 0.0326 )"
"( ( ( x_2 >= 0.033 or x_2 >= -0.033 ) and ( x_0 >= -0.333 or x_2 >= -0.063 ) ) until[1,inf] ( ( x_2 >= -0.1632 or x_2 >= -0.063 ) or ( x_2 >= -0.166 or x_1 >= -0.366 ) ) )","( ( ( ( x_2 >= -0.0055 or x_2 >= -0.0055 ) and ( x_2 >= -0.0055 or x_2 >= -0.0525 ) ) or ( ( x_2 >= -0.1055 and x_2 >= -0.1055 ) and ( x_2 >= -0.1555 and x_2 >= -0.0555 ) ) ) until[1,19] ( ( ( x_2 >= -0.0555 or x_0 <= -0.0555 ) or ( x_2 >= -0.0555 and x_2 >= -0.0555 ) ) or ( ( x_2 >= -0.1555 until[15,24] x_2 >= -0.0555 ) and ( x_2 >= -0.1555 until[17,24] x_2 >= -0.0555 ) ) ) )","(((x_2>= 0.0337andx_2>= 0.0687)and(x_2>=-0.0637orx_2>=-0.066))or((x_2>= 0.0637andx_2>=-0.066)and(x_2>=-0.0637andx_2>=-0.066)))until[10,19](((x_2>= 0.0637orx_2>= 0.066)or(x_0>=-0.0637orx_2>=-0.066))or((x_2>= 0.0631andx_2>= 0.066)and(x_2>= 0.0633andx_2>= 0.069))))","( ( x_2 >= -0.2229 or x_2 >= -0.2229 ) until[19,21] x_0 >= -1.0923 )","( ( always[19,21] ( eventually[13,17] ( ( x_2 >= -0.1081 and x_2 >= -0.0622 ) ) ) until[12,18] x_2 <= 0.6788 ) or ( not ( x_2 <= -0.0571 ) and not ( x_0 <= 0.2508 ) ) )"
"( ( ( ( x_2 <= 0.233 or x_2 <= 0.133 ) or ( x_1 >= -0.153 or x_1 >= -0.133 ) ) until[1,13] ( ( x_2 <= 0.133 or x_1 >= -0.134 ) or ( x_1 >= -0.156 or x_2 >= 0.2332 ) ) ) until[1,inf] ( ( ( x_1 <= -0.166 or x_1 >= -0.164 ) or ( x_1 >= -0.166 or x_1 >= -0.166 ) ) or ( ( x_1 <= -0.166 or x_1 >= -0.1662 ) and ( x_1 >= -0.166 or x_2 <= 0.266 ) ) ) )","( ( ( ( x_2 <= 0.2155 or x_2 <= -0.0055 ) or ( x_2 <= -0.0055 and x_2 <= -0.0525 ) ) or ( ( x_2 <= -0.0525 until[15,26] x_2 <= -0.0525 ) until[15,22] ( x_2 <= -0.0525 or x_2 <= -0.0555 ) ) ) until[1,19] ( ( ( x_2 <= 0.2225 or x_2 <= -0.2225 ) or ( x_2 <= -0.2555 or x_2 <= -0.2555 ) ) or ( ( x_2 <= -0.2555 or x_2 <= -0.2555 ) or ( x_2 <= -0.2555 or x_2 <= -0.2555 ) ) ) )","(((x_2<= 0.1331orx_2<= 0.0397)and(x_2<= 0.0377orx_2<= 0.1397))or((x_1<= 0.0377andx_2<= 0.0997)and(x_2<= 0.0377andx_2<= 0.0397)))until[10,28](((x_2<= 0.0337orx_2<= 0.0397)or(x_2<= 0.0337andx_1<= 0.099))or((x_2<= 0.0377andx_2<= 0.039)and(x_2<= 0.0377andx_2<= 0.039))))","( x_2 <= 0.3929 until[19,21] ( x_1 <= -0.2222 or x_1 <= -0.2922 ) )",( x_1 <= 1.3808 until x_2 <= 0.0902 )
"( ( ( x_2 >= -0.0332 or x_2 >= 0.033 ) or ( x_2 >= 0.133 or x_2 >= 0.0332 ) ) until[1,28] ( ( x_2 >= -0.1332 or x_2 >= 0.134 ) or ( x_2 >= 0.1342 or x_2 >= 0.1242 ) ) )","( ( ( ( x_2 >= -0.0515 or x_2 >= -0.1555 ) until[1,15] ( x_2 >= -0.1155 or x_2 >= -0.1555 ) ) or ( ( x_2 >= -0.1555 until[15,25] x_2 >= -0.1555 ) until[11,21] ( x_2 >= -0.1555 and x_2 >= -0.1555 ) ) ) or ( ( ( x_2 >= -0.1555 until[21,26] x_2 >= -0.1555 ) and ( x_2 >= -0.1555 until[25,33] x_2 >= -0.1555 ) ) and ( ( x_2 >= -0.1555 until[25,30] x_2 >= -0.1555 ) and ( x_2 >= -0.1555 until[20,29] x_2 >= -0.1555 ) ) ) )","((x_2>=-0.0331orx_2>=-0.0363)until[12,28](x_2>=-0.0337orx_2>=-0.0399))or((x_2>= 0.0367andx_2>= 0.0399)until[12,29](x_2>=-0.0337orx_2>=-0.0399)))","( x_2 >= -0.0929 until[19,21] x_2 >= -0.0122 )","always[16,18] ( x_2 >= 0.0013 )"
"( ( ( x_1 >= -0.666 or x_2 >= -0.333 ) and ( x_1 >= -0.366 or x_2 >= -0.366 ) ) until[2,18] ( ( x_1 >= -0.366 or x_2 >= -0.366 ) and ( x_1 >= -0.366 or x_2 >= -0.3662 ) ) )","( ( ( ( x_2 >= -0.2055 and x_2 >= -0.2055 ) or ( x_1 >= -0.4155 and x_2 >= -0.2055 ) ) or ( ( x_1 >= -0.5155 and x_2 >= -0.2055 ) and ( x_2 >= -0.0555 and x_2 >= -0.0555 ) ) ) until[1,19] ( ( ( x_2 >= -0.0555 or x_2 >= -0.0555 ) and ( x_1 >= -0.0555 or x_2 >= -0.2555 ) ) or ( ( x_1 >= -0.0555 until[29,32] x_2 >= -0.2555 ) and ( x_2 >= -0.0555 until[29,32] x_2 >= -0.0555 ) ) ) )","(((x_2>=-0.0333andx_1>=-0.0666)and(x_2>=-0.0633orx_1>=-0.066))until[10,19]((x_1>=-0.0637orx_1>=-0.0666)or(x_2>=-0.0637orx_1>=-0.066)))until[10,19](((x_2>=-0.0637orx_2>=-0.0666)or(x_1>=-0.0637orx_2>=-0.066))or((x_1>=-0.0637andx_2>=-0.066)and(x_2>=-0.0633andx_2>=-0.066))))","( x_2 >= -0.4929 until[19,21] x_1 >= -0.4922 )","( eventually[11,20] ( always[12,19] ( x_2 >= -0.4059 ) ) until[12,16] x_1 >= -0.4157 )"
not ( ( ( x_2 >= -0.033 or x_2 >= -0.036 ) and ( x_2 >= -0.066 or x_2 >= -0.066 ) ) ),"not ( ( not ( not ( x_2 >= -0.2055 ) ) or ( ( x_2 >= -0.2055 until[1,19] x_2 >= -0.2055 ) and ( x_2 >= -0.2225 until[10,22] x_2 >= -0.2225 ) ) ) )",((x_2<=-0.1377orx_2<=-0.133)and(x_2<=-0.1337orx_2<=-0.139))or((x_2<=-0.0377andx_2<=-0.039)and(x_2<=-0.0377andx_2<=-0.239))),( x_2 <= -0.1929 and x_2 <= -0.7222 ),not ( x_2 >= -0.1305 )
not ( ( ( x_2 <= 0.4332 or x_2 <= 0.433 ) and ( x_2 <= 0.4332 or x_2 <= 0.533 ) ) ),not ( not ( not ( ( x_2 <= 0.4195 or x_2 <= 0.4295 ) ) ) ),ot(((x_2<= 0.3933orx_2<= 0.4399)or(x_2<= 0.4339andx_2<= 0.4399))),not ( x_2 <= 0.5523 ),not ( x_2 <= 0.503 )
( x_0 >= -0.563 or x_0 <= 0.6632 ),( x_0 >= -0.7155 or x_0 >= 0.6555 ),x_0<= 0.5637orx_0>= 0.5697),( x_0 <= -0.6999 or x_0 <= -0.6999 ),not ( ( x_0 >= -0.4879 and x_0 <= 0.8433 ) )
( ( ( x_1 <= -0.333 or x_2 <= 0.213 ) or ( x_1 <= -0.133 or x_2 <= 0.153 ) ) or ( ( x_1 <= -0.133 and x_2 <= -0.163 ) and ( x_1 <= -0.133 or x_2 <= -0.036 ) ) ),"( ( ( ( x_2 <= 0.0555 or x_2 <= -0.0055 ) or ( x_2 <= -0.0055 or x_1 <= -0.1225 ) ) or ( ( x_2 <= -0.0555 or x_2 <= -0.0525 ) or ( x_1 <= -0.0525 until[2,29] x_2 <= -0.0525 ) ) ) or ( ( ( x_2 <= 0.2225 or x_2 <= -0.0555 ) or ( x_2 <= -0.2555 until[25,30] x_2 <= -0.0555 ) ) or ( ( x_2 <= -0.1555 or x_2 <= -0.2555 ) or ( x_2 <= -0.2555 until[25,30] x_2 <= -0.1555 ) ) ) )","(((x_2<= 0.1337orx_1<=-0.1397)or(x_1<=-0.1337andx_2<= 0.0397))or((x_1<=-0.0337andx_2<= 0.0397)and(x_2<= 0.0337orx_1<=-0.099)))or(((x_2<= 0.0337orx_2<= 0.039)or(x_1<=-0.0337andx_2<= 0.039))until[10,29]((x_2<= 0.0337orx_1<=-0.099)or(x_1<=-0.0937orx_2<= 0.039))))",( x_2 <= 0.1199 or x_1 <= -0.4229 ),"not ( ( x_1 >= -0.4154 until[1,7] x_2 >= 0.2585 ) )"
"( ( ( x_1 >= -0.666 or x_1 >= -0.666 ) and ( x_2 >= -0.466 or x_1 >= -0.666 ) ) and ( ( x_1 >= -0.666 or x_2 >= -0.466 ) or ( x_1 >= -0.666 until[1,28] x_2 >= -0.666 ) ) )","( ( ( ( x_2 >= -0.5055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 and x_1 >= -0.7555 ) ) or ( ( x_2 >= -0.0555 and x_2 >= -0.0555 ) and ( x_2 >= -0.0555 or x_2 >= -0.0555 ) ) ) until[1,19] ( ( ( x_0 >= -0.0525 or x_2 >= -0.0555 ) and ( x_2 >= -0.0555 or x_2 >= -0.0555 ) ) or ( ( x_2 >= -0.0555 and x_2 >= -0.0555 ) and ( x_2 >= -0.0555 or x_2 >= -0.0555 ) ) ) )",((x_2>=-0.6333orx_1>=-0.666)and(x_1>=-0.6637orx_2>=-0.666))and((x_1>=-0.6637orx_2>=-0.666)and(x_1>=-0.6637andx_2>=-0.666))),( x_1 >= -0.9999 and x_2 >= -0.9999 ),( x_2 >= -0.9935 and x_1 >= -0.7912 )
"( ( ( ( x_2 <= 0.333 or x_2 <= 0.233 ) or ( x_0 >= -0.053 or x_0 >= -0.054 ) ) or ( ( x_2 <= 0.2531 or x_2 <= -0.154 ) or ( x_2 <= 0.2332 or x_2 >= -0.2332 ) ) ) until[25,33] ( ( ( x_2 <= 0.3331 or x_2 <= 0.3332 ) or ( x_2 <= 0.3332 or x_2 <= 0.336 ) ) or ( ( x_2 <= 0.3332 or x_2 <= 0.336 ) and ( x_2 <= 0.336 or x_2 <= 0.366 ) ) ) )","always[20,22] ( always[21,24] ( ( ( x_2 <= 0.5255 or x_2 <= -0.2225 ) until[21,24] ( x_2 <= -0.2215 or x_2 <= -0.2225 ) ) ) )","(((x_2<=-0.0511orx_2<= 0.0997)and(x_2<= 0.0937orx_2<= 0.0997))or((x_0>= 0.0097andx_0>= 0.0997)and(x_0>= 0.0097andx_0>= 0.0997)))until[25,31](((x_2<= 0.0911orx_2<= 0.0997)and(x_2<= 0.0377orx_2<= 0.0997))or((x_2<= 0.0977andx_2<= 0.0997)and(x_2<= 0.0977orx_2<= 0.0999))))","always[19,inf] ( x_2 <= 0.592 )","always[5,inf] ( x_2 <= 0.562 )"
( ( ( x_2 <= -0.333 or x_2 <= -0.063 ) or ( x_2 <= -0.063 and x_2 <= -0.333 ) ) or ( ( x_2 <= -0.163 and x_2 <= -0.066 ) or ( x_2 <= -0.166 and x_2 >= -0.363 ) ) ),"( ( ( ( x_2 <= -0.0055 or x_2 <= -0.2055 ) or ( x_2 <= -0.0055 or x_2 <= -0.0055 ) ) or ( ( x_2 <= -0.0525 and x_2 <= -0.0525 ) or ( x_2 <= -0.0525 and x_2 <= -0.0525 ) ) ) or ( ( ( x_2 <= -0.0525 or x_2 <= -0.2225 ) or ( x_2 <= -0.0555 until[25,30] x_2 <= -0.0555 ) ) or ( ( x_2 <= -0.0555 until[25,32] x_2 <= -0.2555 ) or ( x_2 <= -0.2555 until[25,30] x_2 <= -0.2555 ) ) ) )",((x_2<=-0.2337orx_2<=-0.039)or(x_2<=-0.0337andx_2<=-0.039))or((x_2<=-0.0337andx_2<=-0.039)and(x_2<=-0.0337orx_2<=-0.039))),( x_2 <= -0.4999 or x_2 >= -0.4999 ),"( eventually[5,17] ( not ( x_2 >= -0.2529 ) ) or ( always[8,15] ( eventually[6,18] ( x_1 <= 0.3382 ) ) and eventually ( ( x_2 >= 1.1005 until x_2 >= 0.7659 ) ) ) )"
