0,gold formula
"eventually[19,inf] ( x_1 >= -1.0092 )","eventually[25,30] ( eventually[0,inf] ( not ( eventually[9,15] ( always[25,35] ( not ( not ( x_1 <= -1.069 ) ) ) ) ) ) )"
"( ( x_0 >= -0.2229 until[19,21] x_1 <= -0.2999 ) or ( x_1 <= -0.2922 until[16,18] x_2 <= -0.9922 ) )","always[4,28] ( not ( always[3,7] ( ( ( ( not ( x_2 <= -2.8245 ) or not ( x_1 <= -1.2861 ) ) and ( not ( x_1 <= -1.4768 ) or ( x_2 <= -1.0302 until[2,36] x_2 >= -0.3428 ) ) ) until[30,32] not ( ( ( x_0 >= -0.9639 and x_0 >= 0.736 ) or ( x_1 <= 0.0187 and x_0 >= -0.5711 ) ) ) ) ) ) )"
"( ( x_1 <= -0.2229 or x_1 <= -1.8222 ) or ( x_1 <= -0.2222 or ( x_2 <= -0.2222 until[19,21] x_1 <= -0.2222 ) ) )","( always[12,25] ( not ( eventually[23,30] ( eventually[14,33] ( ( not ( x_1 <= 0.7472 ) until ( x_0 <= -0.2052 or x_1 <= -0.4294 ) ) ) ) ) ) or eventually[30,35] ( not ( ( ( not ( eventually[32,35] ( x_0 <= -0.5012 ) ) or always ( ( x_1 <= 0.9203 or x_2 >= -1.2596 ) ) ) and ( ( ( x_1 <= -2.2328 and x_0 >= 0.8258 ) and ( x_2 >= 0.4489 and x_1 >= -0.9303 ) ) until[18,21] eventually[29,inf] ( always[7,16] ( x_2 >= 0.3216 ) ) ) ) ) ) )"
"( ( x_2 <= -0.2229 until[19,21] x_0 >= 2.0224 ) until[16,20] x_1 >= 0.1224 )","always[1,12] ( not ( not ( ( ( not ( not ( x_1 <= 1.183 ) ) or ( always[11,16] ( x_2 >= 2.1205 ) and eventually[28,31] ( x_1 <= 0.4511 ) ) ) and always[15,20] ( ( ( x_2 <= -0.1779 or x_2 <= -1.6769 ) and ( x_0 >= 2.0441 until x_1 >= 0.3684 ) ) ) ) ) ) )"
"( ( x_0 <= -0.2299 and ( x_0 <= -0.2229 until[19,21] ( x_2 <= -0.2229 until[19,21] x_1 <= -0.6229 ) ) ) and ( x_0 <= -0.1929 until[19,21] ( x_0 <= -0.2229 until[19,21] x_2 <= 0.2229 ) ) )","always ( not ( not ( always[24,33] ( ( ( ( x_0 <= -0.1872 until[16,inf] x_2 >= -1.3644 ) until[27,inf] ( x_1 <= 1.0322 until[13,25] x_2 >= -1.9283 ) ) and ( eventually[31,inf] ( x_2 <= 0.5689 ) and ( x_0 >= -0.8296 and x_2 <= -0.0992 ) ) ) ) ) ) )"
"( x_0 >= -0.999 and ( x_0 >= -0.9299 until[19,21] ( x_2 <= 0.5229 until[19,21] x_2 <= 0.5923 ) ) )","( ( not ( ( ( ( ( x_1 >= -0.5433 and x_2 <= 0.2757 ) until[13,23] not ( x_1 >= 2.5235 ) ) or eventually[29,inf] ( always[3,11] ( x_2 <= 0.5273 ) ) ) or not ( eventually[7,11] ( ( x_1 <= -0.7139 or x_2 <= 1.6676 ) ) ) ) ) and always[6,14] ( always[19,inf] ( eventually[12,inf] ( ( not ( x_2 >= 1.1626 ) until[13,18] ( x_2 <= 1.0035 or x_0 <= -1.085 ) ) ) ) ) ) until not ( not ( not ( not ( eventually[34,36] ( ( x_0 >= 1.156 or x_0 >= -0.6458 ) ) ) ) ) ) )"
"( x_1 <= 0.1999 until[19,21] always[19,21] ( x_1 <= 0.0929 ) )","always[24,27] ( always ( always[28,32] ( eventually[15,21] ( not ( always[13,19] ( ( x_1 >= 0.1319 or x_1 <= 0.2591 ) ) ) ) ) ) )"
"( x_2 <= -1.2922 or eventually[19,inf] ( x_1 >= -0.1022 ) )","eventually[22,inf] ( eventually[18,inf] ( not ( ( ( ( eventually[15,23] ( x_2 >= -0.2424 ) and always[7,17] ( x_1 <= 0.3385 ) ) or ( ( x_2 <= -0.038 until[4,26] x_2 <= 1.3839 ) until[30,32] ( x_1 <= -0.5176 or x_1 <= -0.7431 ) ) ) and not ( ( ( x_1 >= 0.5151 until[11,28] x_1 <= 1.0702 ) until[31,inf] ( x_0 <= -0.5438 or x_0 <= 0.6523 ) ) ) ) ) ) )"
"( x_0 >= -0.1225 until[19,inf] ( x_1 <= -0.5222 until[19,21] x_1 <= -0.5922 ) )","( eventually[34,inf] ( ( eventually[11,23] ( not ( not ( ( x_0 >= 0.1302 until[23,26] x_1 <= -0.6046 ) ) ) ) and eventually[23,28] ( ( ( not ( x_1 >= -1.4238 ) or eventually ( x_2 <= -1.0378 ) ) or ( ( x_0 <= 0.1852 and x_1 <= 0.4284 ) or ( x_1 >= -0.3016 and x_1 <= 0.8366 ) ) ) ) ) ) and ( not ( not ( eventually[0,inf] ( eventually ( ( x_0 >= 0.1672 until[26,35] x_0 >= -1.5005 ) ) ) ) ) until not ( ( always[27,30] ( always[1,35] ( ( x_0 <= -0.4354 and x_1 <= 1.5179 ) ) ) or ( ( always[2,28] ( x_1 >= -0.4139 ) and always ( x_2 <= -0.3533 ) ) and not ( ( x_1 <= -0.0257 until[11,inf] x_1 >= -1.1405 ) ) ) ) ) ) )"
"( x_0 >= -0.0229 until[19,21] ( x_0 <= 0.5929 until[19,21] ( x_0 <= 0.5929 until[19,21] x_0 <= 0.5926 ) ) )","eventually[26,inf] ( not ( not ( not ( eventually[31,34] ( eventually[13,21] ( ( x_0 >= -0.184 or x_0 <= 0.611 ) ) ) ) ) ) )"
"( x_2 <= 0.4929 until[19,21] ( x_2 <= 0.2229 until[19,21] x_2 <= 0.2629 ) )","eventually ( ( eventually[4,19] ( always[17,20] ( not ( not ( ( x_2 >= 0.2644 or x_2 >= 0.0503 ) ) ) ) ) until[4,13] ( ( not ( always[19,21] ( ( x_2 >= -0.0677 or x_1 >= -0.5428 ) ) ) or always[31,33] ( eventually[2,inf] ( not ( x_2 >= 0.8555 ) ) ) ) and always[1,inf] ( ( ( ( x_2 <= 0.7049 or x_2 >= 0.7384 ) and not ( x_2 <= 0.6193 ) ) or ( ( x_2 <= 1.1367 and x_0 <= 0.6789 ) until[27,30] ( x_0 >= -0.8791 or x_2 <= -1.5979 ) ) ) ) ) ) )"
"( ( x_0 >= 0.1229 until[19,21] ( x_1 <= -0.1229 until[16,18] x_0 >= 2.0229 ) ) until[19,21] ( x_2 <= -0.2229 until[16,18] x_1 <= -0.1224 ) )","not ( always[3,21] ( ( ( not ( ( always[4,27] ( x_0 >= 0.7173 ) and always[12,17] ( x_1 <= -0.0133 ) ) ) until[30,33] ( not ( not ( x_0 >= -0.0013 ) ) until[15,21] ( ( x_2 >= -1.3012 and x_1 <= 0.5304 ) and not ( x_1 <= 2.0227 ) ) ) ) or ( eventually[13,inf] ( ( eventually[16,22] ( x_1 >= -0.3852 ) or eventually[30,36] ( x_0 <= 2.4918 ) ) ) or ( ( ( x_2 >= -0.3339 until x_2 <= -1.9381 ) or not ( x_2 <= -0.67 ) ) or always[1,24] ( always[27,35] ( x_0 >= -0.5792 ) ) ) ) ) ) )"
"( x_2 >= -0.9229 or always[19,21] ( x_2 >= -1.0222 ) )","( eventually[28,33] ( always[16,inf] ( eventually ( not ( always[26,28] ( ( x_0 <= -1.3453 or x_2 >= -1.7551 ) ) ) ) ) ) or always[6,9] ( always[27,32] ( ( eventually[0,3] ( not ( eventually[11,13] ( x_2 <= -1.0107 ) ) ) or ( ( ( x_1 <= -0.0426 and x_1 >= -0.4826 ) and ( x_2 >= -1.1926 and x_1 <= 0.1755 ) ) or ( ( x_2 <= -0.6044 and x_1 <= -0.9094 ) until[18,32] ( x_1 <= -1.2446 and x_0 <= 2.0756 ) ) ) ) ) ) )"
"( x_2 >= -0.9299 until[19,21] always[16,inf] ( x_0 >= -0.2522 ) )","not ( eventually[12,inf] ( ( always[6,inf] ( not ( not ( ( x_0 <= 1.0187 or x_2 <= -0.6123 ) ) ) ) until[18,27] ( always[11,34] ( ( ( x_0 <= 0.4457 until[21,inf] x_0 <= -0.0894 ) and eventually ( x_0 <= -0.3537 ) ) ) or not ( ( not ( x_2 <= -0.2495 ) and not ( x_2 <= -0.3838 ) ) ) ) ) ) )"
"( ( x_0 >= -0.6299 or x_2 >= -0.0299 ) or ( x_0 <= -0.6999 or ( x_0 <= -0.6929 or ( x_2 <= -0.2229 until[19,21] x_2 >= -0.2229 ) ) ) )","always[19,inf] ( not ( ( ( eventually[6,12] ( ( not ( x_2 >= -0.3938 ) and ( x_1 >= -2.5293 until[4,12] x_0 <= -0.9003 ) ) ) until[19,35] not ( ( ( x_0 <= -0.0121 or x_2 >= 1.0225 ) or ( x_2 <= 0.3939 and x_0 <= -0.8074 ) ) ) ) and ( eventually[8,14] ( ( ( x_0 <= -1.5961 or x_1 <= 0.6532 ) or not ( x_0 <= -0.3474 ) ) ) and not ( not ( ( x_0 <= 0.9651 or x_0 <= 0.4051 ) ) ) ) ) ) )"
"( x_2 >= -0.2229 or ( x_2 >= -1.9229 or ( x_1 <= -0.2229 until[16,18] x_2 >= -1.9222 ) ) )","( always[28,35] ( not ( ( eventually[33,inf] ( ( not ( x_1 >= -0.4382 ) until[8,22] not ( x_2 >= -2.3142 ) ) ) and eventually[15,34] ( ( ( x_0 >= -1.1704 and x_1 >= -0.1636 ) until[3,33] eventually ( x_1 >= -1.1879 ) ) ) ) ) ) or eventually[18,inf] ( ( eventually[17,27] ( not ( not ( eventually ( x_1 >= -0.5177 ) ) ) ) and always[8,19] ( eventually[15,33] ( not ( ( x_1 >= 0.9158 or x_2 >= -0.3877 ) ) ) ) ) ) )"
"( ( x_2 >= 0.4229 until[16,20] x_1 <= -0.0929 ) until[10,13] x_0 <= 0.6223 )","not ( ( eventually[22,24] ( always ( eventually[2,26] ( ( always[16,inf] ( x_2 >= 1.1423 ) or eventually[3,5] ( x_2 <= -0.9688 ) ) ) ) ) or ( always[6,12] ( ( not ( eventually ( x_0 <= 0.66 ) ) or ( ( x_1 <= -0.4471 and x_0 <= -1.7745 ) or ( x_1 >= -1.3498 and x_1 >= 0.0302 ) ) ) ) or ( ( not ( ( x_2 <= -1.6374 and x_2 >= -0.4246 ) ) until[1,20] eventually ( ( x_1 >= -1.141 and x_1 >= -0.0919 ) ) ) and ( not ( ( x_2 <= -0.4962 until x_0 <= -3.0001 ) ) until[21,32] ( ( x_2 <= -0.0695 and x_1 <= 0.0441 ) until ( x_0 >= 1.0001 or x_1 <= 1.087 ) ) ) ) ) ) )"
"( ( x_0 >= -0.0929 until[19,21] x_2 >= 0.4299 ) until[19,21] ( x_0 >= 0.1229 until[16,18] x_0 <= 0.1196 ) )","( always ( always[8,16] ( not ( always[8,14] ( not ( not ( x_0 >= 0.8647 ) ) ) ) ) ) until[2,inf] not ( ( eventually ( always[3,11] ( not ( eventually[4,23] ( x_0 >= -0.0117 ) ) ) ) or ( not ( ( ( x_1 >= 1.8708 or x_0 >= 0.6734 ) and not ( x_2 <= 0.1702 ) ) ) and not ( not ( eventually[19,34] ( x_2 <= -0.1795 ) ) ) ) ) ) )"
"always[11,inf] ( x_1 <= 1.6922 )","always[26,34] ( not ( ( ( ( always[11,inf] ( not ( x_2 >= -1.2333 ) ) or ( always[30,34] ( x_2 >= 1.8701 ) or not ( x_1 >= -1.0582 ) ) ) or ( ( eventually[28,33] ( x_1 <= 0.1812 ) or ( x_0 <= 1.6417 and x_1 >= -0.3702 ) ) and not ( ( x_2 >= 0.2516 until[28,32] x_1 >= 0.0816 ) ) ) ) and not ( not ( eventually[29,33] ( eventually[33,35] ( x_1 >= 1.6715 ) ) ) ) ) ) )"
"( ( x_0 <= -0.9229 until[19,21] x_1 <= 0.2929 ) or ( x_2 >= -0.2229 or ( x_0 <= -0.5229 until[16,18] x_2 >= -0.2922 ) ) )","( not ( ( not ( not ( always[18,26] ( not ( x_2 >= -0.4173 ) ) ) ) and not ( always[34,36] ( not ( ( x_0 <= -0.0675 or x_2 >= 2.0748 ) ) ) ) ) ) until[14,31] eventually ( ( always[7,inf] ( not ( not ( ( x_2 >= 1.1792 or x_1 <= -0.8524 ) ) ) ) until ( always[3,17] ( not ( not ( x_0 <= -0.4879 ) ) ) and not ( eventually[17,24] ( not ( x_2 >= -1.8189 ) ) ) ) ) ) )"
"( ( x_0 <= -0.9229 or x_1 >= -0.2229 ) until[19,inf] ( x_2 <= -0.2222 or x_0 <= -0.5922 ) )","( not ( eventually[27,inf] ( ( ( eventually[22,36] ( eventually[15,29] ( x_2 >= 1.1844 ) ) or always[26,30] ( ( x_2 >= -1.2565 or x_0 <= -0.9206 ) ) ) and always[32,35] ( not ( ( x_2 >= -1.3951 and x_1 >= 1.0743 ) ) ) ) ) ) and not ( not ( eventually[30,32] ( ( not ( eventually[13,19] ( x_0 >= -0.1125 ) ) or ( ( x_2 <= -1.2973 and x_0 >= -0.8311 ) and eventually[25,27] ( x_0 <= -1.077 ) ) ) ) ) ) )"
"( ( x_2 >= -0.3229 until[19,21] x_2 >= 2.0229 ) until[19,21] ( x_2 >= -0.2229 until[16,18] x_0 <= -0.2229 ) )","( not ( not ( eventually[15,21] ( always[11,31] ( ( not ( x_0 >= -1.0104 ) or ( x_1 >= 0.849 or x_1 >= -0.1278 ) ) ) ) ) ) and eventually[30,inf] ( eventually ( ( ( always[25,27] ( ( x_2 <= -1.1798 and x_0 >= -1.2146 ) ) and ( always[1,23] ( x_2 <= 0.7448 ) or ( x_2 >= -1.4983 until x_1 <= 1.5371 ) ) ) and ( ( ( x_0 <= -1.2869 until[7,26] x_2 <= 0.7692 ) and always[11,inf] ( x_0 <= -0.7529 ) ) and ( ( x_2 >= 2.36 until[6,inf] x_2 <= -0.076 ) and always[32,34] ( x_1 >= -1.905 ) ) ) ) ) ) )"
"( x_2 <= 0.6229 or ( x_1 >= -0.2922 until[19,21] x_1 >= -0.2922 ) )","( not ( not ( not ( ( eventually[23,36] ( ( x_0 >= 0.8132 until x_2 >= 0.4527 ) ) until not ( ( x_1 >= 1.6629 or x_2 <= -2.1301 ) ) ) ) ) ) and ( always[5,inf] ( not ( ( not ( ( x_0 >= 2.4969 or x_2 <= 0.1595 ) ) or eventually[14,28] ( ( x_0 >= 1.3461 until[34,36] x_1 <= -0.7354 ) ) ) ) ) or ( not ( always[29,33] ( always[12,20] ( eventually[34,inf] ( x_2 >= 0.0341 ) ) ) ) or ( eventually[6,17] ( ( ( x_1 >= 0.8102 and x_1 >= -0.9783 ) or not ( x_2 >= 0.6461 ) ) ) until not ( eventually[1,22] ( always ( x_0 >= 1.307 ) ) ) ) ) ) )"
"( ( x_0 >= -0.5299 or ( x_0 >= -0.2229 or x_2 >= -0.2229 ) ) until[19,inf] ( x_1 <= -0.2929 until[19,21] ( x_1 <= -0.2229 or x_0 >= -0.2229 ) ) )","( not ( ( always ( not ( not ( ( x_0 <= -0.8488 or x_1 <= 0.951 ) ) ) ) until[5,8] always[21,inf] ( not ( ( ( x_1 <= -0.4636 or x_1 <= -0.4528 ) until[16,25] ( x_2 >= -0.7602 and x_2 <= 0.9837 ) ) ) ) ) ) until eventually ( ( ( ( eventually[27,inf] ( ( x_0 >= -0.87 until[0,5] x_2 >= -1.6279 ) ) and eventually[7,9] ( not ( x_2 >= 1.9229 ) ) ) or ( eventually[18,inf] ( eventually ( x_2 <= -0.1327 ) ) and ( eventually[14,inf] ( x_2 >= 0.8219 ) or always[27,34] ( x_0 <= 0.7085 ) ) ) ) and always[12,inf] ( not ( ( ( x_1 <= -1.4113 or x_1 >= 1.1664 ) or not ( x_0 >= -0.9788 ) ) ) ) ) ) )"
( ( x_1 <= 0.1229 or x_0 >= -1.2229 ) or ( x_1 >= 0.2229 or ( x_2 <= -0.2229 or x_1 >= 0.2229 ) ) ),"eventually[3,26] ( ( ( ( eventually[6,16] ( eventually[24,inf] ( ( x_1 <= 0.9031 or x_1 >= -0.284 ) ) ) or eventually[28,32] ( not ( ( x_1 >= -1.347 and x_1 >= -0.9638 ) ) ) ) or not ( eventually[24,inf] ( ( ( x_2 <= 0.3531 or x_1 >= -1.4237 ) until[14,inf] ( x_0 <= -1.7196 and x_2 >= 0.0229 ) ) ) ) ) or not ( eventually[20,23] ( ( eventually[30,34] ( not ( x_0 <= 0.7361 ) ) or ( not ( x_0 >= 1.665 ) or eventually[20,23] ( x_0 >= 0.5455 ) ) ) ) ) ) )"
"( ( x_2 <= -0.9229 until[19,21] x_1 >= -0.2922 ) or ( x_2 <= -0.9222 until[16,18] ( x_2 <= -0.2222 or x_2 <= -0.2222 ) ) )","( not ( always ( not ( eventually[20,34] ( eventually[12,inf] ( ( x_1 >= 1.2203 or x_0 <= -1.7455 ) ) ) ) ) ) until[33,35] not ( eventually ( not ( always[9,13] ( not ( ( x_2 >= -0.4138 and x_1 >= -1.133 ) ) ) ) ) ) )"
"( ( x_0 >= -0.7299 or x_1 <= -0.2999 ) or ( x_0 <= -0.5229 or ( x_0 <= -0.5229 until[19,21] x_2 <= -0.2922 ) ) )","always[9,inf] ( not ( always[4,22] ( always ( eventually[17,19] ( ( ( x_1 >= -1.4102 until[17,32] x_0 <= -0.9777 ) and ( x_1 >= -0.7716 until[6,8] x_0 >= -0.8201 ) ) ) ) ) ) )"
"( ( x_0 <= -0.5229 until[16,20] x_2 <= -0.2929 ) and ( x_0 <= -0.4929 until[16,18] x_0 <= -0.5929 ) )","( not ( not ( not ( not ( ( ( x_0 <= 0.708 or x_2 >= -2.077 ) and ( x_0 <= -0.2886 and x_0 <= 0.3348 ) ) ) ) ) ) until not ( not ( ( eventually[3,17] ( ( eventually[3,9] ( x_0 >= -0.7586 ) and ( x_1 >= 1.329 and x_1 >= -0.4577 ) ) ) or ( not ( not ( x_2 >= -0.2306 ) ) and ( ( x_0 >= -0.3987 or x_0 >= 0.9899 ) until[8,21] ( x_2 <= -0.4337 until[1,29] x_2 <= 2.2906 ) ) ) ) ) ) )"
"( x_2 <= 1.6229 or ( x_2 >= 0.2222 or ( x_2 >= -0.2222 until[16,18] x_2 <= -0.2222 ) ) )","( eventually ( ( eventually ( not ( not ( always ( x_2 <= -1.2599 ) ) ) ) until[16,22] ( not ( ( ( x_1 >= 1.3793 and x_1 <= 0.2531 ) or ( x_2 >= 0.0418 until[32,inf] x_0 <= -1.2508 ) ) ) or not ( ( ( x_1 >= 0.6846 and x_1 >= 0.6877 ) until[32,34] ( x_2 >= -1.9816 until[2,inf] x_0 <= -1.1416 ) ) ) ) ) ) or not ( ( ( eventually[32,inf] ( eventually ( not ( x_2 <= 1.8765 ) ) ) until[6,36] always[19,30] ( eventually ( ( x_0 <= 0.1876 and x_0 <= -0.0604 ) ) ) ) and not ( eventually[18,34] ( ( not ( x_2 <= -1.4465 ) until not ( x_0 >= 0.6158 ) ) ) ) ) ) )"
"( ( x_0 >= -0.2229 until[19,21] x_2 >= 0.6222 ) until[19,21] x_1 >= -0.0222 )","eventually[6,inf] ( eventually[1,20] ( ( ( ( ( ( x_0 <= -0.4016 and x_1 <= 0.3088 ) and eventually[5,15] ( x_0 >= 0.3224 ) ) until[11,17] ( ( x_1 >= 0.0947 and x_1 <= 0.7105 ) and eventually[31,36] ( x_0 >= 0.1362 ) ) ) or always[8,34] ( ( not ( x_1 <= 0.8328 ) or ( x_1 >= 0.5449 until[18,26] x_1 <= 1.7957 ) ) ) ) and not ( not ( always[25,30] ( ( x_0 >= -0.3694 and x_2 >= 0.6057 ) ) ) ) ) ) )"
"( ( x_0 <= -0.9299 or x_1 <= 0.6929 ) until[19,21] ( x_1 <= -0.6929 or ( x_0 <= -0.2922 or x_0 <= -0.2922 ) ) )","( eventually[5,14] ( ( not ( ( always ( not ( x_2 <= 1.3961 ) ) until[26,36] eventually[21,inf] ( ( x_1 >= -0.4675 or x_2 <= 0.6926 ) ) ) ) or eventually[13,18] ( ( eventually[8,30] ( ( x_1 <= -0.5051 until[9,21] x_0 <= -0.352 ) ) or eventually[31,34] ( ( x_2 >= 0.92 until x_0 >= -0.5522 ) ) ) ) ) ) until[17,inf] not ( not ( not ( eventually[3,inf] ( ( ( x_1 >= 1.1558 and x_0 <= 1.2801 ) or ( x_1 <= -1.3832 or x_0 >= 1.0545 ) ) ) ) ) ) )"
"( x_1 <= -0.0222 until[19,21] always[19,21] ( ( x_1 >= 1.5922 until[19,21] x_1 <= 1.5922 ) ) )","( not ( always ( ( not ( eventually[18,inf] ( ( x_2 >= 0.6163 or x_0 >= 1.2151 ) ) ) and ( ( ( x_1 >= 0.1252 and x_1 <= 0.5106 ) or ( x_2 >= 0.4445 until[32,34] x_1 >= -0.3352 ) ) or not ( not ( x_1 <= 2.4301 ) ) ) ) ) ) until not ( eventually[3,6] ( eventually[12,inf] ( ( ( ( x_2 >= 0.6417 and x_0 >= -0.5013 ) or not ( x_1 >= 0.3588 ) ) or ( eventually[27,34] ( x_2 >= -1.4946 ) until ( x_2 <= 0.2323 or x_2 <= 1.3674 ) ) ) ) ) ) )"
"( x_1 >= -0.1999 until[19,21] ( x_2 <= -0.9929 until[19,21] ( x_2 <= -1.0929 until[19,21] x_2 >= -0.9922 ) ) )","( always[24,34] ( always[8,inf] ( eventually ( not ( not ( always[22,inf] ( x_2 <= -0.9962 ) ) ) ) ) ) and eventually ( ( eventually[1,inf] ( not ( always[23,26] ( ( x_1 <= 0.396 or x_0 >= -1.3063 ) ) ) ) or not ( always[4,inf] ( ( always[5,15] ( x_2 <= 0.4657 ) or always[2,8] ( x_1 <= 0.3952 ) ) ) ) ) ) )"
"( ( x_0 <= 0.2299 until[19,21] x_2 >= 0.3229 ) until[19,21] ( x_2 >= 0.2229 until[19,21] x_1 <= 0.6922 ) )","eventually[31,34] ( not ( not ( ( ( not ( not ( x_1 <= -0.5345 ) ) or eventually[8,22] ( eventually[12,inf] ( x_0 >= -0.2968 ) ) ) until[14,24] eventually[10,inf] ( ( ( x_1 <= 0.7472 or x_0 >= 0.382 ) and ( x_2 >= 0.4415 and x_0 <= 0.1107 ) ) ) ) ) ) )"
"always[19,inf] ( x_0 >= 0.6524 )","( always[28,32] ( not ( not ( ( not ( ( x_2 <= -1.7965 until[21,27] x_0 <= 0.3027 ) ) and always[19,26] ( not ( x_0 <= 0.6224 ) ) ) ) ) ) until[10,inf] not ( ( not ( not ( ( ( x_1 >= -0.1375 and x_2 >= -1.0823 ) and ( x_1 <= -0.2293 until[12,28] x_1 >= -0.8534 ) ) ) ) and ( ( not ( always ( x_0 <= 0.8497 ) ) or ( ( x_2 <= 1.213 and x_1 <= -0.293 ) and always[29,33] ( x_1 >= -0.5417 ) ) ) and not ( ( not ( x_2 <= -0.5131 ) or eventually[10,26] ( x_2 <= 1.4095 ) ) ) ) ) ) )"
"( x_2 <= -1.2222 or always[19,21] ( always[16,inf] ( x_0 >= 0.9922 ) ) )","not ( eventually[30,inf] ( not ( ( ( eventually[24,inf] ( ( x_1 <= 0.2667 and x_1 >= -0.4082 ) ) until[1,5] not ( eventually[19,28] ( x_2 >= -0.9368 ) ) ) or not ( always[7,inf] ( eventually[5,29] ( x_0 <= 0.9108 ) ) ) ) ) ) )"
"( ( x_2 >= -0.6229 or x_0 <= -0.9299 ) until[19,21] ( x_1 <= -0.2929 or ( x_0 <= -0.2222 until[16,18] x_2 >= -0.2922 ) ) )","always[23,28] ( ( not ( eventually[14,35] ( not ( not ( not ( x_1 <= 0.6889 ) ) ) ) ) and not ( always[32,inf] ( eventually[12,24] ( not ( ( x_2 >= 0.8018 or x_0 <= -0.8861 ) ) ) ) ) ) )"
"( x_1 >= -0.6229 or ( x_2 <= 1.2229 or ( x_1 <= -0.2229 or ( x_2 <= -0.6222 until[19,21] x_2 <= -0.9229 ) ) ) )","not ( ( always[6,10] ( eventually[27,29] ( ( ( not ( x_1 >= -1.0794 ) and ( x_2 <= -0.313 and x_2 >= -2.0306 ) ) and ( eventually[13,35] ( x_2 >= 1.5095 ) and not ( x_1 <= -0.6253 ) ) ) ) ) and eventually[21,27] ( always[3,9] ( ( not ( always[9,24] ( x_2 >= -0.8302 ) ) or ( eventually[33,inf] ( x_0 >= 0.8948 ) until ( x_1 >= 0.8493 and x_2 <= 0.8238 ) ) ) ) ) ) )"
"( x_0 <= 0.1926 until[10,19] x_2 <= 1.0624 )","( not ( not ( not ( not ( not ( ( x_2 >= 1.2118 or x_0 >= 0.2038 ) ) ) ) ) ) until[12,30] always ( ( ( ( ( always[32,35] ( x_1 >= 1.2897 ) or not ( x_2 <= -0.4153 ) ) until[6,21] ( ( x_1 >= -2.081 and x_2 <= -0.94 ) or not ( x_0 >= -0.1924 ) ) ) or always[6,inf] ( not ( ( x_0 <= -1.8698 until[15,33] x_2 >= 0.8385 ) ) ) ) or ( ( eventually[0,23] ( not ( x_2 >= -0.3714 ) ) and always[32,36] ( always[7,32] ( x_1 <= 1.319 ) ) ) and always[15,27] ( ( ( x_2 <= 1.8676 or x_0 >= 0.6067 ) or ( x_0 >= 0.3918 or x_2 >= -1.0471 ) ) ) ) ) ) )"
"( ( x_0 <= -0.9229 until[19,21] x_2 >= -0.9222 ) or ( x_2 <= -0.2922 until[16,18] x_1 >= -0.9999 ) )","not ( ( always ( ( always[1,inf] ( ( ( x_1 >= -0.4945 or x_2 >= 2.013 ) or ( x_0 >= -0.7242 or x_2 <= 0.3335 ) ) ) until[5,inf] eventually[3,12] ( ( not ( x_0 >= -1.5147 ) and always[5,9] ( x_1 >= 0.3473 ) ) ) ) ) or ( not ( eventually[4,20] ( eventually[32,34] ( ( x_2 >= -0.3444 and x_1 >= 0.796 ) ) ) ) and eventually[31,inf] ( ( ( not ( x_0 <= 1.2891 ) or eventually[7,33] ( x_0 >= 0.7083 ) ) or ( eventually[13,16] ( x_1 <= 1.3052 ) until[23,34] not ( x_0 <= -0.4868 ) ) ) ) ) ) )"
"always[19,inf] ( ( x_1 >= -0.0929 and x_2 <= 1.0929 ) )","( eventually[12,22] ( ( ( not ( ( ( x_2 <= -0.4507 until x_1 >= -0.2078 ) and ( x_1 >= -0.9909 and x_0 >= 0.0469 ) ) ) or always[7,14] ( not ( not ( x_1 <= 2.3287 ) ) ) ) until[34,36] eventually[25,29] ( not ( eventually[1,inf] ( not ( x_1 >= 0.0322 ) ) ) ) ) ) and not ( eventually[25,31] ( ( always[14,36] ( eventually[21,33] ( not ( x_2 <= 1.0488 ) ) ) and ( not ( eventually[23,32] ( x_2 >= -0.232 ) ) or not ( always[16,18] ( x_2 <= -0.8929 ) ) ) ) ) ) )"
"( ( x_0 >= 0.2223 until[19,21] x_1 >= 1.0222 ) until[16,20] x_1 >= 0.9222 )","( eventually[2,inf] ( ( ( ( ( ( x_2 >= -0.9827 or x_1 <= -0.0115 ) and not ( x_1 <= 1.1309 ) ) until[6,17] not ( always[3,20] ( x_2 <= -0.9345 ) ) ) and not ( eventually[6,36] ( always[9,28] ( x_0 <= 0.2058 ) ) ) ) until ( not ( not ( ( x_0 <= 0.6035 and x_2 >= -1.437 ) ) ) or not ( always[1,23] ( ( x_2 <= 0.3681 and x_1 >= -1.7666 ) ) ) ) ) ) and always[16,34] ( ( not ( always[16,27] ( ( ( x_1 >= -0.3648 until[13,20] x_0 <= -0.2086 ) or not ( x_1 <= -1.5933 ) ) ) ) or always[7,11] ( ( eventually[25,36] ( not ( x_0 <= 0.3849 ) ) or always[13,24] ( not ( x_1 >= 1.5453 ) ) ) ) ) ) )"
"eventually[19,21] ( eventually[19,21] ( ( x_2 <= 1.4222 or x_1 <= -0.2922 ) ) )","not ( eventually[19,24] ( always[21,27] ( ( eventually[15,18] ( ( not ( x_0 >= -1.482 ) or always[18,inf] ( x_1 >= 0.1725 ) ) ) and ( ( not ( x_2 >= 2.1717 ) or always[33,inf] ( x_0 <= -0.1755 ) ) and ( not ( x_2 <= -1.7777 ) and always[24,32] ( x_2 >= 1.4389 ) ) ) ) ) ) )"
