0,gold formula
"(((x_0<=-0.2877orx_2<=-0.2882)and(x_2<=-0.2887orx_2<=-0.2882))until[22,34]((x_2<=-0.2813orx_2<=-0.2882)and(x_2<=-0.2813orx_2<=-0.2882)))and(((x_2<=-0.2814andx_2<=-0.2882)and(x_2<=-0.2813orx_2<=-0.2882))until[14,31]((x_2<=-0.2811andx_2<=-0.2822)and(x_2<=-0.2891andx_2<=-0.2882))))","( ( eventually[28,30] ( x_2 <= -1.3738 ) until not ( x_0 <= -0.4696 ) ) and always[11,21] ( not ( x_0 >= -1.574 ) ) )"
"(((x_2<= 0.1877orx_2<=-0.288)or(x_2<=-0.2864orx_2>=-0.2887))or((x_2<=-0.2867orx_2<=-0.282)or(x_2<=-0.2864orx_2<=-0.288)))until[12,25]not(((x_2<=-0.2874orx_2<=-0.2282)or(x_2<=-0.2873orx_2<=-0.2822))))","not ( ( ( x_0 <= 0.9009 or x_0 <= -1.3293 ) and always[1,7] ( x_2 >= -0.5006 ) ) )"
"(((x_0<= 0.2877until[24,34]x_2<= 0.2877)or(x_2>= 0.2874orx_2>= 0.2822))or((x_2>= 0.2814until[22,34]x_2<= 0.282)or(x_2>= 0.2814until[22,34]x_2<= 0.2822)))or(((x_2<= 0.2818until[22,34]x_2<= 0.2822)or(x_2<= 0.2811andx_2>= 0.2822))or((x_2>= 0.2811until[22,34]x_2<= 0.2822)or(x_2>= 0.2811andx_2>= 0.2882))))","not ( ( always[5,30] ( x_2 >= 0.2919 ) and ( x_2 >= -0.0095 and x_0 >= 1.1844 ) ) )"
"(((x_2<=-0.1877orx_2<=-0.288)or(x_2<=-0.2874orx_2<=-0.2887))until[22,34]((x_2<=-0.2877orx_2<=-0.288)or(x_2<=-0.2873orx_2<=-0.288)))until[12,28]not(((x_2<=-0.2873orx_2<=-0.2882)or(x_2<=-0.2873orx_2<=-0.2882))))",( not ( ( x_1 <= -0.4498 until x_1 >= 0.1027 ) ) and not ( ( x_2 >= -0.4956 or x_2 <= -1.0769 ) ) )
"ventually[22,29](eventually[15,29](always[14,29]((x_1>=-0.2277orx_1>=-0.2277)))))","eventually[6,inf] ( eventually[8,inf] ( always[25,32] ( x_1 >= 0.0125 ) ) )"
"(((x_2<= 0.1877orx_2<=-0.288)or(x_2<=-0.2864orx_2>=-0.2887))or((x_2<=-0.2867orx_2<=-0.282)or(x_2<=-0.2863orx_2<=-0.288)))until[12,25]not(((x_2<=-0.2874until[22,34]x_2<=-0.282)or(x_2<=-0.2873orx_2<=-0.2872))))","( eventually[34,36] ( eventually[27,34] ( x_1 >= 0.8971 ) ) or eventually[18,23] ( not ( x_2 >= -0.6142 ) ) )"
"(((x_2>= 0.1884orx_2>= 0.2888)and(x_2>= 0.2884orx_2>= 0.2888))until[22,34]((x_2>= 0.2814orx_2>= 0.2882)and(x_2>= 0.2813orx_2>= 0.2882)))and(((x_2>= 0.2814until[22,34]x_2>= 0.2882)and(x_2>= 0.2813orx_2>= 0.2882))until[18,31]((x_2>= 0.1811orx_2>= 0.2882)and(x_2>= 0.1819orx_2>= 0.2882))))","( ( not ( x_2 <= 0.9012 ) and ( x_1 <= -0.3415 or x_2 >= 0.0727 ) ) and ( always[12,32] ( x_0 >= 0.2192 ) until[10,30] always[24,36] ( x_0 <= 0.6456 ) ) )"
"(((x_2<= 0.2854orx_2>= 0.2882)or(x_2>= 0.2814orx_2>= 0.2888))until[22,34]((x_2>= 0.2811orx_2>= 0.2882)and(x_2>= 0.2814orx_2>= 0.2882)))and(((x_2>= 0.2814until[22,34]x_2>= 0.2822)and(x_2>= 0.2811orx_2>= 0.2822))until[14,31]((x_2>= 0.2811orx_2>= 0.2822)and(x_2>= 0.2811orx_2>= 0.2882))))","( ( ( x_0 >= -0.304 or x_1 >= -0.8529 ) and not ( x_1 <= -0.6417 ) ) until[31,33] ( always[12,33] ( x_2 >= -0.4408 ) until[11,15] always[9,21] ( x_2 >= 1.9472 ) ) )"
"((x_1<= 0.2877orx_1<= 0.2888)or(x_1<= 0.2884orx_1<=-0.2888))until[22,34]((x_1<=-0.2887orx_1<=-0.288)or(x_1<=-0.2884orx_1<=-0.288)))","not ( always[22,29] ( always[26,29] ( x_1 >= -0.0155 ) ) )"
(x_0>=-0.2274orx_0>=-0.2277)or(x_0>=-0.2877orx_0>=-0.2877)),"eventually[20,32] ( not ( ( x_0 >= -1.0518 until[14,20] x_0 <= -0.6793 ) ) )"
"(((x_2<=-0.2877orx_2<=-0.288)until[24,34](x_2<=-0.2877orx_2<=-0.2888))and((x_2<=-0.2877orx_2<=-0.288)until[22,34](x_2<=-0.2873orx_2<=-0.2882)))until[12,28]not(((x_2<=-0.2873orx_2<=-0.2882)and(x_2<=-0.2873orx_2<=-0.2882))))","always[29,34] ( eventually ( ( x_2 <= -0.6869 until[27,31] x_1 <= -0.8249 ) ) )"
"(((x_1<= 0.2877orx_1<= 0.282)or(x_1<= 0.2864orx_1<= 0.2828))or((x_1<= 0.2864orx_1<= 0.282)or(x_1<= 0.2864until[22,34]x_1<= 0.282)))or(((x_1<= 0.2874until[22,34]x_2<= 0.2822)or(x_1<= 0.2871andx_1<= 0.2822))or((x_1<= 0.2877until[22,34]x_2<= 0.2822)or(x_1<= 0.2877orx_1<= 0.2828))))","eventually[17,32] ( not ( always[15,20] ( x_1 >= 1.0769 ) ) )"
"(((x_1<=-0.2884orx_2<=-0.2888)until[24,34](x_1<=-0.2884andx_1<=-0.2888))and((x_1<=-0.2884orx_2<=-0.2888)until[28,32](x_1<=-0.2883andx_1<=-0.2888)))until[12,28]not(((x_1<=-0.2873andx_1<=-0.2882)and(x_1<=-0.2883andx_1<=-0.2828))))","( ( always[4,30] ( x_2 >= -1.0331 ) and ( x_1 >= -2.1151 or x_1 >= -0.1649 ) ) until[2,inf] ( ( x_1 <= -0.6384 until[32,34] x_2 <= -0.276 ) until[17,24] not ( x_1 <= -0.0923 ) ) )"
"(((x_2<=-0.1877orx_2<=-0.288)or(x_2<=-0.2877orx_2<=-0.2887))until[22,34]((x_2<=-0.2877orx_2<=-0.282)or(x_2<=-0.2873orx_2<=-0.288)))until[12,28]not(((x_2<=-0.2873orx_2<=-0.2282)or(x_2<=-0.2873orx_2<=-0.2872))))","( ( ( x_1 >= -0.083 and x_1 >= -1.96 ) until ( x_2 <= -0.928 until[29,31] x_2 <= 0.163 ) ) until[30,34] ( always[6,22] ( x_1 >= -0.7405 ) or eventually[22,32] ( x_0 <= 1.6611 ) ) )"
"(((x_2<= 0.1884orx_2>= 0.2888)until[22,34](x_2>= 0.2883orx_2>= 0.2888))and((x_2>= 0.2814orx_2>= 0.2882)until[22,34](x_2>= 0.2813orx_2>= 0.2882)))and(((x_2<= 0.2814orx_2<= 0.2882)and(x_2<= 0.2813orx_2>= 0.2882))until[18,31]((x_2<= 0.2811orx_2<= 0.2882)and(x_2<= 0.2819orx_2>= 0.2888))))","always[27,29] ( ( ( x_1 <= -0.0789 and x_0 >= 0.0755 ) until[15,25] not ( x_2 <= 1.1102 ) ) )"
"(((x_2<= 0.1877orx_2<=-0.288)or(x_2>=-0.2864orx_2>=-0.2887))or((x_2<=-0.2864orx_2<=-0.288)or(x_2<=-0.2863orx_2<=-0.288)))until[12,25](((x_2<=-0.2874until[22,34]x_2<=-0.288)or(x_2<=-0.2873orx_2<=-0.2882))or((x_2<=-0.2818orx_2<=-0.2882)or(x_2<=-0.2871andx_2<=-0.2882))))","( eventually[14,21] ( ( x_2 >= -0.3738 until[3,inf] x_2 >= -0.7563 ) ) and always[16,inf] ( eventually[33,36] ( x_2 <= 2.2298 ) ) )"
"(((x_2>= 0.1814orx_2>= 0.2885)or(x_2>= 0.2814orx_2>= 0.2888))until[22,34]((x_2>= 0.2814orx_2>= 0.2822)or(x_2>= 0.2814orx_2>= 0.2822)))or(((x_2>= 0.1814orx_2>= 0.2822)or(x_2>= 0.2811orx_2>= 0.2822))until[14,31]not((x_2<= 0.2811orx_2>= 0.2822))))","always[1,32] ( ( ( x_1 >= -1.5276 or x_1 >= 0.6686 ) and not ( x_2 <= 0.8398 ) ) )"
"ventually[24,34](not(x_1<= 0.0277))","( ( always[6,35] ( x_1 >= 0.4027 ) or ( x_1 >= -0.1622 until[5,14] x_0 >= 0.5469 ) ) until[30,36] always[5,24] ( ( x_1 >= -0.4981 or x_1 >= -0.0145 ) ) )"
(x_1>=-0.2274orx_1>=-0.2777)or(x_1>=-0.2874orx_1>=-0.2777)),"not ( eventually[1,3] ( not ( x_1 >= -0.5811 ) ) )"
"(x_0<= 1.0274orx_0>= 0.7277)until[14,28](x_1<= 0.7777orx_1<= 1.2227))","( ( not ( x_0 >= 0.8433 ) or not ( x_1 >= -2.4449 ) ) and ( always ( x_0 >= -1.7532 ) or ( x_2 >= -0.5164 until[24,31] x_1 >= 0.3077 ) ) )"
"(((x_1<=-0.2887orx_1<=-0.2888)or(x_1<=-0.2887orx_1<=-0.2888))until[22,34]((x_1<=-0.2887orx_1<=-0.288)or(x_1<=-0.2883orx_1<=-0.288)))until[22,34]not(not((x_1>=-0.288orx_1>=-0.288))))","not ( eventually[26,inf] ( ( x_0 >= 1.9056 or x_1 >= -0.6851 ) ) )"
"(((x_0<=-0.2877orx_2<=-0.288)or(x_2<=-0.2864orx_2<=-0.2888))until[22,34]((x_2<=-0.2867orx_2<=-0.288)or(x_2<=-0.2863orx_2<=-0.288)))until[12,28](((x_2<=-0.2873orx_2<=-0.288)or(x_2<=-0.2873orx_2<=-0.2882))or((x_2<=-0.2871andx_2<=-0.2882)or(x_2<=-0.2877orx_2<=-0.2882))))","( ( always[34,36] ( x_2 <= 0.382 ) until[5,inf] ( x_0 <= -0.2373 until[10,20] x_0 >= -2.1435 ) ) or ( eventually[30,35] ( x_2 <= -1.1041 ) until[28,34] always[9,inf] ( x_1 >= 1.5819 ) ) )"
"(((x_2<= 0.1877orx_2<=-0.288)or(x_2<=-0.2864orx_2>=-0.2887))or((x_2<=-0.2864orx_2<=-0.288)or(x_2<=-0.2863orx_2<=-0.288)))until[12,25]not(((x_2<=-0.2874until[22,34]x_2<=-0.288)or(x_2<=-0.2873orx_2<=-0.2882))))","( not ( ( x_2 <= -0.754 and x_2 >= 0.1798 ) ) until[15,34] ( always[15,35] ( x_1 >= 0.2516 ) or ( x_0 >= -1.1605 until[8,inf] x_2 <= -0.4416 ) ) )"
"(((x_0<= 0.2877orx_2>=-0.288)or(x_2>=-0.2864orx_2>=-0.2887))or((x_2<=-0.2863orx_2<=-0.288)or(x_2<=-0.2863orx_2<=-0.288)))until[12,25](((x_2<=-0.2874until[22,34]x_2<=-0.288)or(x_2<=-0.2873orx_2<=-0.2882))or((x_2<=-0.2871until[24,36]x_2<=-0.2882)or(x_2<=-0.2877orx_2<=-0.2887))))","( ( ( x_2 >= 0.4012 until[31,34] x_1 >= -1.0355 ) or ( x_2 <= -0.1395 until[28,inf] x_2 <= -0.3219 ) ) and eventually[31,inf] ( ( x_0 >= -1.0459 until[7,inf] x_1 <= 1.5076 ) ) )"
"(((x_0<= 0.2877orx_2<= 0.288)or(x_2<= 0.2864orx_2<= 0.2887))or((x_1<= 0.2877orx_2<= 0.282)or(x_2<= 0.2864until[22,34]x_2<= 0.282)))or(((x_2<= 0.2874until[22,34]x_2<= 0.282)or(x_2<= 0.2873andx_2<=-0.2822))or((x_2<= 0.2871until[22,34]x_2<= 0.2822)or(x_2<= 0.2877orx_2<=-0.2822))))","( ( eventually[11,24] ( x_1 <= 0.9765 ) until[23,inf] ( x_2 >= 1.061 or x_0 >= -1.4719 ) ) or ( ( x_0 >= -0.7937 until x_0 >= 1.1832 ) or ( x_0 >= -0.8547 until[6,11] x_1 <= 0.4625 ) ) )"
"(((x_2<= 0.2877orx_2<=-0.288)or(x_2<=-0.2864orx_2<=-0.2888))or((x_2<=-0.2834orx_2<=-0.282)or(x_2<=-0.2884orx_2<=-0.228)))or(((x_2<=-0.2874until[22,34]x_2<=-0.288)or(x_2<=-0.2873orx_2<=-0.2822))or((x_2<=-0.2871andx_2<=-0.2822)or(x_2<=-0.2877orx_2<=-0.2822))))","always[4,30] ( always[25,36] ( ( x_2 <= -0.4045 or x_1 <= -0.2364 ) ) )"
"(x_1>=-0.0244until[14,34]x_1>=-0.0287)until[14,29](x_1>=-0.2284andx_1>=-0.2228))","( ( eventually[9,29] ( x_1 >= 0.27 ) until ( x_2 >= -1.7667 and x_2 <= 1.2475 ) ) and always[31,35] ( ( x_1 <= -0.3012 or x_1 <= 0.0714 ) ) )"
(x_1<=-0.0284orx_1<=-0.2888)or(x_1<=-0.2884orx_1<=-0.2888)),not ( not ( not ( x_1 >= -0.2068 ) ) )
"(((x_0<= 0.2857orx_2>= 0.2887)or(x_0>= 0.2877orx_2>= 0.2887))or((x_2>= 0.2814orx_2<= 0.288)or(x_2>= 0.2864until[22,34]x_2<= 0.288)))or(((x_2<= 0.2874until[22,34]x_2<= 0.282)or(x_2>= 0.2811until[22,34]x_2>= 0.2822))or((x_2>= 0.2818orx_2<= 0.2822)or(x_2>= 0.2817until[22,34]x_2>= 0.2882))))","always[9,20] ( ( ( x_0 <= -0.4596 or x_0 <= -1.5054 ) or ( x_2 <= 0.0107 or x_0 <= 0.9601 ) ) )"
"(((x_0<=-0.2877orx_2<=-0.2882)until[22,34](x_2<=-0.2871orx_2<=-0.2882))and((x_2<=-0.2813orx_2<=-0.2882)until[22,34](x_2<=-0.2813andx_2<=-0.2882)))until[12,25](((x_2<=-0.2813orx_2<=-0.2822)and(x_2<=-0.2811andx_2<=-0.2822))and((x_2<=-0.2819orx_2<=-0.2882)until[24,34](x_2<=-0.2891orx_2<=-0.2822))))","always[31,35] ( always[9,28] ( ( x_2 <= -1.3209 until[27,33] x_0 <= -1.7042 ) ) )"
"(x_1>=-0.2874until[14,34]x_1>=-0.2877)until[14,28](x_1>=-0.2877andx_1>=-0.2288))","( not ( not ( x_1 <= -0.883 ) ) and ( not ( x_1 <= 0.671 ) and eventually[29,inf] ( x_1 <= -0.8102 ) ) )"
(x_1<= 0.2874orx_1>=-0.2877)or(x_1<=-0.2874orx_1<=-0.2877)),"( not ( ( x_1 >= -0.5308 until[19,36] x_0 <= 0.9952 ) ) or ( ( x_0 <= -0.2942 until[16,inf] x_1 <= -1.6847 ) until[13,22] eventually[29,32] ( x_0 <= 1.2485 ) ) )"
"(((x_1<= 0.2874orx_1<= 0.2287)or(x_1>= 0.2864orx_1<= 0.2828))or((x_1<= 0.2864orx_2<= 0.2222)or(x_1<= 0.2284until[22,34]x_2<= 0.2822)))or(((x_1<= 0.2874until[22,34]x_2<= 0.2822)or(x_2<= 0.2811andx_2<= 0.2822))or((x_1<= 0.2818until[22,34]x_2<= 0.2822)or(x_1<= 0.2871andx_2<= 0.2822))))","eventually[21,36] ( ( always[16,30] ( x_1 <= 1.0725 ) or ( x_2 <= 0.0542 and x_1 >= -0.7707 ) ) )"
"lways[24,34]((x_0<= 0.7777orx_0<= 0.7777))","eventually[30,32] ( ( eventually[16,18] ( x_0 <= 0.731 ) or ( x_2 <= 1.0026 and x_1 <= -0.6015 ) ) )"
"(((x_1<=-0.2884orx_1>=-0.2888)until[24,34](x_1<=-0.2864orx_1<=-0.2888))and((x_1<=-0.2884orx_1<=-0.2888)until[28,32](x_1<=-0.2883andx_1<=-0.2888)))until[18,31]not(((x_1<=-0.2883orx_1<=-0.2888)and(x_1<=-0.2883orx_1<=-0.2888))))","( always[9,24] ( always[4,35] ( x_1 >= -0.6568 ) ) and always[1,22] ( eventually[27,31] ( x_1 <= -0.4992 ) ) )"
"(((x_2<= 0.5887orx_2>= 0.2882)or(x_2>= 0.2814orx_2>= 0.2888))until[22,34]((x_2>= 0.2811orx_2>= 0.2822)or(x_2>= 0.2814orx_2>= 0.2822)))and(((x_2>= 0.2814orx_2>= 0.2822)or(x_2>= 0.2811orx_2>= 0.2822))until[14,31]((x_2>= 0.2811orx_2>= 0.2822)or(x_2>= 0.2811orx_2>= 0.2822))))","( eventually[20,22] ( ( x_1 <= 0.1545 until[16,23] x_1 >= 2.2758 ) ) or eventually[16,35] ( not ( x_2 <= 1.4518 ) ) )"
"(((x_0<= 0.2857orx_0>= 0.288)or(x_0>= 0.2864orx_2>= 0.2887))or((x_0<= 0.2864orx_2>= 0.288)or(x_0<= 0.2864until[22,34]x_2<= 0.288)))or(((x_0<= 0.2877until[22,34]x_2<= 0.288)or(x_0<= 0.2887until[28,34]x_2>= 0.2822))or((x_2>= 0.2871orx_2<= 0.2882)or(x_2>= 0.2819until[28,34]x_2>= 0.2882))))","( ( not ( x_0 <= 1.3282 ) until[8,21] ( x_0 >= -1.4188 or x_0 >= -1.2466 ) ) or always[31,inf] ( eventually[29,33] ( x_0 <= 0.6153 ) ) )"
"(((x_0<= 0.2877orx_2>=-0.288)or(x_2>=-0.2864orx_2>=-0.2887))or((x_2<=-0.2867orx_2<=-0.288)or(x_2<=-0.2863orx_2<=-0.288)))until[12,25](((x_2<=-0.2874orx_2<=-0.288)or(x_2<=-0.2883orx_2<=-0.2882))or((x_2<=-0.2877orx_2<=-0.2888)or(x_2<=-0.2877orx_2<=-0.2887))))","( eventually[3,inf] ( ( x_0 <= 0.6021 until[2,5] x_1 <= -1.0208 ) ) or always ( eventually ( x_0 >= 0.9678 ) ) )"
"(x_0>= 0.7184until[24,32]x_0>= 0.2887)and(x_0>= 0.2881until[22,34]x_0>= 0.282))","( eventually[12,20] ( not ( x_0 <= 1.4723 ) ) and ( eventually[23,33] ( x_2 <= -0.5394 ) until[2,10] ( x_2 >= -0.0188 until[4,21] x_0 <= -0.412 ) ) )"
"(((x_0<=-0.2877orx_0>=-0.228)or(x_0>=-0.2864orx_2<=-0.2887))or((x_1<=-0.2864orx_2<=-0.222)or(x_0<=-0.2834until[28,32]x_2<=-0.288)))or(((x_0<=-0.2874until[22,34]x_2<=-0.288)or(x_1<=-0.2873andx_2<=-0.2822))or((x_1<=-0.2819until[24,36]x_2<=-0.2822)and(x_1<=-0.2871andx_0<=-0.2828))))","( not ( eventually[22,24] ( x_0 <= -0.6333 ) ) or ( ( x_1 <= -1.0115 and x_0 <= 1.6059 ) or ( x_1 >= -0.0718 or x_2 <= -0.876 ) ) )"
"(((x_2<= 0.2877orx_2<=-0.288)or(x_2<=-0.2864orx_2>=-0.2888))or((x_2<=-0.2864orx_2<=-0.288)or(x_2<=-0.2864orx_2<=-0.288)))until[12,25]not(((x_2<=-0.2874orx_2<=-0.288)or(x_2<=-0.2883orx_2<=-0.2882))))","not ( always[2,18] ( ( x_2 <= -0.7027 or x_1 >= 0.6543 ) ) )"
"(((x_1<= 0.2274orx_1>= 0.2287)or(x_1>= 0.2264orx_1>= 0.2227))or((x_1<= 0.2244orx_1<= 0.222)or(x_1<= 0.2284until[22,34]x_1<= 0.282)))or(((x_1<= 0.2874until[22,34]x_2<= 0.2222)or(x_1<= 0.2811andx_1<=-0.2222))or((x_1<= 0.2811andx_1<=-0.2822)and(x_1<=-0.2281andx_1<=-0.2228))))",( ( ( x_1 >= 0.3585 or x_1 <= 0.1411 ) or ( x_0 >= 1.0938 and x_2 >= -1.2919 ) ) or ( not ( x_1 >= 1.014 ) or always ( x_1 >= -0.2658 ) ) )
"ventually[22,29](eventually[14,29](x_1>= 0.0277))","( not ( ( x_2 >= -0.2288 and x_1 <= 0.3619 ) ) and eventually[34,36] ( ( x_1 >= 0.1499 until[28,36] x_2 <= 2.6282 ) ) )"
"ventually[22,34](eventually[15,34](x_0>=-0.0277))","eventually[18,inf] ( ( ( x_2 <= 0.4247 or x_0 >= -0.1419 ) and eventually[14,inf] ( x_0 >= -0.0503 ) ) )"
"(x_0>=-0.1244until[24,32]x_0>=-0.2828)until[18,29](x_0>=-0.2883andx_0>=-0.2287))","always[29,inf] ( ( ( x_0 <= 0.2792 until[15,20] x_0 >= -1.8116 ) and not ( x_0 <= -0.3569 ) ) )"
"(((x_2<=-0.1877orx_2<=-0.288)or(x_2<=-0.2877orx_2<=-0.2887))or((x_2<=-0.2877orx_2<=-0.282)or(x_2<=-0.2874orx_2<=-0.228)))until[12,25]not(((x_2<=-0.2877orx_2<=-0.2222)or(x_2<=-0.2873orx_2<=-0.2222))))","( ( ( x_2 <= 1.6912 or x_0 <= 0.6774 ) and not ( x_2 >= -0.2367 ) ) and ( ( x_0 >= -0.314 and x_0 <= -0.0449 ) or always[10,18] ( x_1 <= 0.5083 ) ) )"
(x_0<= 0.5577orx_0<= 0.2877)or(x_0<= 0.2874orx_0<= 0.2887)),"always[5,8] ( ( ( x_1 <= 0.1537 until[0,21] x_1 >= -0.8525 ) or always[8,19] ( x_0 <= 0.2645 ) ) )"
"lways[24,34]((x_0<= 0.2277orx_0<= 0.2277))","( not ( eventually[32,34] ( x_2 >= -1.2442 ) ) or eventually[14,30] ( always ( x_0 <= 0.3473 ) ) )"
"(x_0>= 0.2814until[24,32]x_0>=-0.2887)until[18,28](x_0>=-0.2883andx_0>=-0.2882))","always[5,inf] ( ( ( x_2 <= 0.8725 until[5,26] x_0 >= 0.7548 ) and always[10,15] ( x_0 <= -0.5502 ) ) )"
"(((x_1<= 0.2884orx_1>= 0.2887)or(x_1>= 0.2864orx_1>= 0.2888))until[12,28]((x_1>= 0.2864orx_1>= 0.2282)and(x_1>= 0.2884orx_1>= 0.2882)))until[14,28]not(((x_1>= 0.2814orx_1>= 0.2882)and(x_1<= 0.2881andx_1>= 0.2828))))","( ( ( x_1 >= -0.7479 until[34,inf] x_1 <= 0.8723 ) and eventually[27,inf] ( x_0 <= 1.1293 ) ) until[21,inf] always[32,35] ( not ( x_1 <= 0.8551 ) ) )"
"(((x_2<=-0.1877orx_2<=-0.287)or(x_2<=-0.2877orx_2<=-0.2877))until[22,34]((x_2<=-0.2877orx_2<=-0.287)or(x_2<=-0.2873orx_2<=-0.287)))or(((x_2<=-0.2777orx_2<=-0.2772)or(x_2<=-0.2777orx_2<=-0.2772))until[14,31]((x_2<=-0.2771orx_2<=-0.2772)or(x_2<=-0.2777orx_2<=-0.2772))))","( ( ( x_0 <= -0.4772 or x_2 >= -1.2236 ) or eventually[22,31] ( x_2 <= -0.4231 ) ) and ( eventually[12,inf] ( x_2 <= -1.3158 ) until[26,34] always[27,34] ( x_2 <= 0.9212 ) ) )"
"(((x_2<= 0.1854orx_2>= 0.2884)or(x_2>= 0.2884orx_2>= 0.2888))until[22,34]((x_2>= 0.2814orx_2>= 0.2882)or(x_2<= 0.2814orx_2>= 0.2882)))until[12,25]not(((x_2<= 0.2814orx_2<= 0.2882)or(x_2<= 0.2811orx_2<= 0.2822))))","( ( eventually ( x_1 <= 0.4191 ) and ( x_1 <= 0.2815 and x_1 <= 0.4799 ) ) and not ( eventually[21,27] ( x_2 <= 0.5422 ) ) )"
"(((x_0<=-0.2877orx_2<=-0.287)or(x_2<=-0.2873orx_2>=-0.2877))or((x_2<=-0.2873orx_2<=-0.282)or(x_2<=-0.2873until[22,34]x_2<=-0.287)))or(((x_2<=-0.2774until[22,34]x_2<=-0.287)or(x_2<=-0.2773until[22,34]x_2<=-0.277))or((x_2<=-0.2771until[28,36]x_2<=-0.287)or(x_2<=-0.2771until[28,36]x_2<=-0.287))))","( eventually[14,22] ( eventually[32,36] ( x_0 >= -1.692 ) ) and ( ( x_2 >= -1.5186 or x_2 >= 1.7102 ) or not ( x_1 <= 0.7386 ) ) )"
x_0<= 0.5577orx_0<= 0.7777),not ( not ( ( x_0 <= 0.4248 or x_1 >= 1.5829 ) ) )
"(x_1>= 1.0214andx_1>= 1.2227)until[24,32](x_1>= 0.2271andx_1>= 1.2222))","not ( always[11,22] ( always[0,27] ( x_1 <= 1.8654 ) ) )"
"ventually[22,34](always[15,34](((x_0>=-0.2877orx_0>=-0.2877)or(x_2>=-0.2834orx_0>=-0.288))))","always[17,inf] ( not ( not ( x_0 >= -0.3994 ) ) )"
"(((x_2<= 0.1877orx_2>= 0.288)or(x_2>= 0.2864orx_2>= 0.2887))or((x_2<= 0.2814orx_2<= 0.282)or(x_2<= 0.2814until[22,34]x_2<= 0.288)))or(((x_2<= 0.2874until[22,34]x_2<= 0.282)or(x_2<= 0.2811until[22,34]x_2<= 0.2822))or((x_2<= 0.2871andx_2<= 0.2822)or(x_2<= 0.2811until[22,34]x_2<= 0.2822))))","( eventually[30,inf] ( ( x_1 <= 1.324 until[26,35] x_2 <= 0.5814 ) ) or ( not ( x_1 <= 0.9207 ) until ( x_0 <= 0.5196 or x_2 >= 0.362 ) ) )"
"lways[22,34](always[15,34](((x_0>= 0.7777orx_2>= 0.7777)until[22,34](x_0>= 0.2871orx_2>= 0.2887))))","always[30,34] ( always[31,inf] ( not ( x_0 <= 0.9074 ) ) )"
"(x_0>= 0.1244until[24,32]x_0>= 0.2887)until[18,29](x_0>= 0.2887andx_0>= 0.2887))","eventually[27,33] ( ( always[5,11] ( x_0 >= -0.0943 ) until[24,inf] eventually[15,inf] ( x_0 <= 0.7414 ) ) )"
"(((x_0<= 0.2277orx_2>= 0.2287)or(x_1>= 0.2864orx_2>= 0.2822))or((x_1<= 0.2814orx_2<= 0.2222)or(x_1<= 0.2284until[22,34]x_2<= 0.2822)))or(((x_2<= 0.2874until[22,34]x_2<= 0.2822)or(x_2<= 0.2811andx_2<= 0.2822))or((x_2<= 0.2811andx_2<= 0.2822)until[24,34](x_2<= 0.2811andx_2<= 0.2822))))","( not ( not ( x_1 <= 1.7849 ) ) or ( ( x_0 <= 0.9219 until[4,9] x_0 <= -0.4406 ) and ( x_0 <= 0.344 and x_1 >= -0.5723 ) ) )"
"(((x_2<= 0.2877orx_2<=-0.288)or(x_2<=-0.2864orx_2>=-0.2888))or((x_2<=-0.2864orx_2<=-0.288)or(x_2<=-0.2863orx_2<=-0.288)))until[12,25]not(((x_2<=-0.2874orx_2<=-0.288)or(x_2<=-0.2883orx_2<=-0.2882))))","( always ( always[24,33] ( x_2 >= 0.6886 ) ) or ( always[16,23] ( x_1 <= -0.7142 ) or ( x_2 >= 0.8632 until[3,29] x_1 <= 1.2122 ) ) )"
"(((x_2<= 0.1514orx_2>= 0.2874)or(x_2<= 0.2814orx_2>= 0.2822))or((x_2<= 0.2814orx_2<= 0.2222)or(x_2<= 0.2814until[22,34]x_2<= 0.2822)))or(((x_2<= 0.2814until[22,34]x_2<= 0.2722)or(x_2<= 0.2811until[22,34]x_2<= 0.2722))or((x_2<= 0.1811andx_2<= 0.2822)or(x_2<= 0.2711andx_2<= 0.2822))))","always[17,22] ( eventually[22,30] ( not ( x_2 >= 1.0156 ) ) )"
"(((x_2<= 0.2854orx_2>= 0.2882)or(x_2>= 0.2814orx_2>= 0.2888))until[22,34]((x_2>= 0.2814orx_2>= 0.2822)or(x_2>= 0.2814orx_2>= 0.2822)))and(((x_2>= 0.2814orx_2>= 0.2822)or(x_2>= 0.2811orx_2>= 0.2822))until[14,31]((x_2>= 0.2811orx_2>= 0.2822)or(x_2>= 0.2811orx_2>= 0.2828))))","( ( always[1,17] ( x_2 >= 1.3309 ) and ( x_1 <= 1.9014 or x_1 <= -2.3071 ) ) and eventually[16,21] ( ( x_2 >= 0.7081 and x_0 <= 0.795 ) ) )"
"(((x_1<=-0.2877orx_1<=-0.228)or(x_1<=-0.2874orx_1<=-0.2877))or((x_1<=-0.2877orx_1<=-0.222)or(x_1<=-0.2274orx_1<=-0.222)))or(((x_1<=-0.2874until[22,34]x_1<=-0.272)or(x_1<=-0.2773andx_1<=-0.2722))or((x_1<=-0.2877orx_1<=-0.2828)or(x_1<=-0.2877orx_1<=-0.2827))))","( ( ( x_0 <= -0.3622 and x_1 <= 0.0596 ) or not ( x_1 <= -0.9453 ) ) or ( ( x_2 <= 0.5274 and x_1 <= 0.0525 ) and always[16,24] ( x_2 >= -1.0737 ) ) )"
